Year,Units,Категория,Возраст,Пол,Место нахождения,Value
2015,%,,,,,34.5
2016,%,,,,,34.6
2017,%,,,,,34.6
2018,%,,,,,32.7
2019,%,,,,,31.0
2020,%,,,,,31.0
2015,%,,,мужчина,,23.5
2016,%,,,мужчина,,22.7
2017,%,,,мужчина,,23.4
2018,%,,,мужчина,,21.2
2019,%,,,мужчина,,20.8
2020,%,,,мужчина,,22.6
2015,%,,,женщина,,44.6
2016,%,,,женщина,,46.5
2017,%,,,женщина,,45.9
2018,%,,,женщина,,44.0
2019,%,,,женщина,,41.6
2020,%,,,женщина,,39.9
2015,%,,,,город,36.1
2016,%,,,,город,35.7
2017,%,,,,город,35.9
2018,%,,,,город,30.8
2019,%,,,,город,30.2
2020,%,,,,город,28.0
2015,%,,,,село,32.2
2016,%,,,,село,32.9
2017,%,,,,село,32.7
2018,%,,,,село,34.9
2019,%,,,,село,32.2
2020,%,,,,село,34.9
2015,%,,15-19,,,13.1
2016,%,,15-19,,,14.2
2017,%,,15-19,,,15.6
2018,%,,15-19,,,11.3
2019,%,,15-19,,,8.6
2020,%,,15-19,,,9.5
2015,%,,15-19,мужчина,,9.8
2016,%,,15-19,мужчина,,11.3
2017,%,,15-19,мужчина,,12.0
2018,%,,15-19,мужчина,,7.3
2019,%,,15-19,мужчина,,5.4
2020,%,,15-19,мужчина,,6.8
2015,%,,15-19,женщина,,16.6
2016,%,,15-19,женщина,,17.7
2017,%,,15-19,женщина,,20.2
2018,%,,15-19,женщина,,14.9
2019,%,,15-19,женщина,,12.3
2020,%,,15-19,женщина,,12.4
2015,%,,20-24,,,39.5
2016,%,,20-24,,,40.9
2017,%,,20-24,,,40.3
2018,%,,20-24,,,37.8
2019,%,,20-24,,,36.3
2020,%,,20-24,,,36.2
2015,%,,20-24,мужчина,,29.3
2016,%,,20-24,мужчина,,27.8
2017,%,,20-24,мужчина,,29.7
2018,%,,20-24,мужчина,,24.6
2019,%,,20-24,мужчина,,29.3
2020,%,,20-24,мужчина,,28.1
2015,%,,20-24,женщина,,48.4
2016,%,,20-24,женщина,,52.7
2017,%,,20-24,женщина,,50.1
2018,%,,20-24,женщина,,50.4
2019,%,,20-24,женщина,,43.5
2020,%,,20-24,женщина,,44.9
2015,%,,15-24,,,27.5
2016,%,,15-24,,,28.5
2017,%,,15-24,,,28.7
2018,%,,15-24,,,25.7
2019,%,,15-24,,,23.3
2020,%,,15-24,,,23.0
2015,%,,15-24,мужчина,,20.0
2016,%,,15-24,мужчина,,19.5
2017,%,,15-24,мужчина,,20.7
2018,%,,15-24,мужчина,,16.8
2019,%,,15-24,мужчина,,17.8
2020,%,,15-24,мужчина,,17.5
2015,%,,15-24,женщина,,34.8
2016,%,,15-24,женщина,,37.8
2017,%,,15-24,женщина,,37.5
2018,%,,15-24,женщина,,34.1
2019,%,,15-24,женщина,,29.3
2020,%,,15-24,женщина,,28.8
2015,%,,25-29,,,46.7
2016,%,,25-29,,,45.1
2017,%,,25-29,,,44.5
2018,%,,25-29,,,43.8
2019,%,,25-29,,,43.0
2020,%,,25-29,,,44.5
2015,%,,25-29,мужчина,,30.1
2016,%,,25-29,мужчина,,28.5
2017,%,,25-29,мужчина,,28.4
2018,%,,25-29,мужчина,,27.7
2019,%,,25-29,мужчина,,25.7
2020,%,,25-29,мужчина,,31.3
2015,%,,25-29,женщина,,60.8
2016,%,,25-29,женщина,,60.4
2017,%,,25-29,женщина,,59.1
2018,%,,25-29,женщина,,60.6
2019,%,,25-29,женщина,,59.7
2020,%,,25-29,женщина,,58.0
2021,%,,,,,28.3
2021,%,,,мужчина,,19.2
2021,%,,,женщина,,37.3
2021,%,,,,город,27.0
2021,%,,,,село,30.0
2021,%,,15-19,,,6.6
2021,%,,15-19,мужчина,,6.8
2021,%,,15-19,женщина,,6.3
2021,%,,20-24,,,35.1
2021,%,,20-24,мужчина,,26.6
2021,%,,20-24,женщина,,43.4
2021,%,,15-24,,,20.3
2021,%,,15-24,мужчина,,16.2
2021,%,,15-24,женщина,,24.6
2021,%,,25-29,,,41.6
2021,%,,25-29,мужчина,,24.6
2021,%,,25-29,женщина,,57.1
2018,%,with disabilities ,,,,54.6
2019,%,with disabilities ,,,,56.4
2020,%,with disabilities ,,,,52.3
2021,%,with disabilities ,,,,63.0
2022,%,with disabilities ,,,,60.9
2022,%,,,,,25.9
2022,%,,15-19,,,8.0
2022,%,,15-19,мужчина,,7.4
2022,%,,15-19,женщина,,8.8
2022,%,,20-24,,,31.1
2022,%,,20-24,мужчина,,20.0
2022,%,,20-24,женщина,,43.2
2022,%,,15-24,,,19.0
2022,%,,15-24,мужчина,,13.2
2022,%,,15-24,женщина,,25.5
2022,%,,25-29,,,38.6
2022,%,,25-29,мужчина,,20.7
2022,%,,25-29,женщина,,55.4
2022,%,,,,город,24.6
2022,%,,,,село,28.1
2022,%,,,мужчина,,15.7
2022,%,,,женщина,,36.8
2023,%,,,,,24.4
2023,%,,15-19,,,8.4
2023,%,,15-19,мужчина,,6.6
2023,%,,15-19,женщина,,10.3
2023,%,,20-24,,,25.9
2023,%,,20-24,мужчина,,21.3
2023,%,,20-24,женщина,,31.3
2023,%,,15-24,,,16.9
2023,%,,15-24,мужчина,,13.8
2023,%,,15-24,женщина,,20.3
2023,%,,25-29,,,37.6
2023,%,,25-29,мужчина,,20.9
2023,%,,25-29,женщина,,55.9
2023,%,,,,город,23.4
2023,%,,,,село,26.0
2023,%,,,мужчина,,16.4
2023,%,,,женщина,,33.3
2023,%,with disabilities ,,,,54.3
