Year,Units,Սեռ,Տարիք,Տեսակ,Value
2015,%,,,,1.05
2016,%,,,,1.09
2017,%,,,,1.12
2018,%,,,,1.14
2019,%,,,,1.15
2020,%,,,,1.11
2015,%,արական,,,1.33
2016,%,արական,,,1.39
2017,%,արական,,,1.42
2018,%,արական,,,1.46
2019,%,արական,,,1.48
2020,%,արական,,,1.4
2015,%,իգական,,,0.74
2016,%,իգական,,,0.76
2017,%,իգական,,,0.77
2018,%,իգական,,,0.78
2019,%,իգական,,,0.77
2020,%,իգական,,,0.78
2015,%,,0-4 տարեկան,,0.46
2016,%,,0-4 տարեկան,,0.52
2017,%,,0-4 տարեկան,,0.5
2018,%,,0-4 տարեկան,,0.52
2019,%,,0-4 տարեկան,,0.56
2020,%,,0-4 տարեկան,,0.58
2015,%,,0-4 տարեկան,,0.55
2016,%,արական,0-4 տարեկան,,0.64
2017,%,արական,0-4 տարեկան,,0.61
2018,%,արական,0-4 տարեկան,,0.64
2019,%,արական,0-4 տարեկան,,0.7
2020,%,արական,0-4 տարեկան,,0.69
2015,%,իգական,0-4 տարեկան,,0.36
2016,%,իգական,0-4 տարեկան,,0.38
2017,%,իգական,0-4 տարեկան,,0.39
2018,%,իգական,0-4 տարեկան,,0.38
2019,%,իգական,0-4 տարեկան,,0.41
2020,%,իգական,0-4 տարեկան,,0.45
2015,%,,5-9 տարեկան,,1.04
2016,%,,5-9 տարեկան,,1.1
2017,%,,5-9 տարեկան,,1.14
2018,%,,5-9 տարեկան,,1.12
2019,%,,5-9 տարեկան,,1.15
2020,%,,5-9 տարեկան,,1.13
2015,%,արական,5-9 տարեկան,,1.34
2016,%,արական,5-9 տարեկան,,1.39
2017,%,արական,5-9 տարեկան,,1.42
2018,%,արական,5-9 տարեկան,,1.43
2019,%,արական,5-9 տարեկան,,1.48
2020,%,արական,5-9 տարեկան,,1.4
2015,%,իգական,5-9 տարեկան,,0.71
2016,%,իգական,5-9 տարեկան,,0.76
2017,%,իգական,5-9 տարեկան,,0.82
2018,%,իգական,5-9 տարեկան,,0.76
2019,%,իգական,5-9 տարեկան,,0.78
2020,%,իգական,5-9 տարեկան,,0.82
2015,%,,10-14 տարեկան,,1.47
2016,%,,10-14 տարեկան,,1.48
2017,%,,10-14 տարեկան,,1.48
2018,%,,10-14 տարեկան,,1.5
2019,%,,10-14 տարեկան,,1.39
2020,%,,10-14 տարեկան,,1.32
2015,%,արական,10-14 տարեկան,,1.86
2016,%,արական,10-14 տարեկան,,1.92
2017,%,արական,10-14 տարեկան,,1.94
2018,%,արական,10-14 տարեկան,,1.92
2019,%,արական,10-14 տարեկան,,1.81
2020,%,արական,10-14 տարեկան,,1.68
2015,%,իգական,10-14 տարեկան,,1.02
2016,%,իգական,10-14 տարեկան,,0.97
2017,%,իգական,10-14 տարեկան,,0.95
2018,%,իգական,10-14 տարեկան,,1.01
2019,%,իգական,10-14 տարեկան,,0.92
2020,%,իգական,10-14 տարեկան,,0.92
2015,%,,15 տարեկան,,1.78
2016,%,,15 տարեկան,,1.98
2017,%,,15 տարեկան,,2.02
2018,%,,15 տարեկան,,1.96
2019,%,,15 տարեկան,,2.04
2020,%,,15 տարեկան,,1.94
2015,%,արական,15 տարեկան,,2.17
2016,%,արական,15 տարեկան,,2.4
2017,%,արական,15 տարեկան,,2.59
2018,%,արական,15 տարեկան,,2.54
2019,%,արական,15 տարեկան,,2.58
2020,%,արական,15 տարեկան,,2.51
2015,%,իգական,15 տարեկան,,1.33
2016,%,իգական,15 տարեկան,,1.49
2017,%,իգական,15 տարեկան,,1.37
2018,%,իգական,15 տարեկան,,1.29
2019,%,իգական,15 տարեկան,,1.39
2020,%,իգական,15 տարեկան,,1.29
2015,%,,16-17 տարեկան,,1.45
2016,%,,16-17 տարեկան,,1.42
2017,%,,16-17 տարեկան,,1.53
2018,%,,16-17 տարեկան,,1.64
2019,%,,16-17 տարեկան,,1.6
2020,%,,16-17 տարեկան,,1.42
2015,%,արական,16-17 տարեկան,,1.9
2016,%,արական,16-17 տարեկան,,1.79
2017,%,արական,16-17 տարեկան,,1.95
2018,%,արական,16-17 տարեկան,,2.12
2019,%,արական,16-17 տարեկան,,2.13
2020,%,արական,16-17 տարեկան,,1.87
2015,%,իգական,16-17 տարեկան,,0.95
2016,%,իգական,16-17 տարեկան,,1.01
2017,%,իգական,16-17 տարեկան,,1.07
2018,%,իգական,16-17 տարեկան,,1.1
2019,%,իգական,16-17 տարեկան,,1.0
2020,%,իգական,16-17 տարեկան,,0.91
2015,%,,,ընդամենը՝ հաշմանդամություն ունեցող երեխաների (0-17 տարեկան) ընդհանուր թվաքանակից,93.46
2016,%,,,ընդամենը՝ հաշմանդամություն ունեցող երեխաների (0-17 տարեկան) ընդհանուր թվաքանակից,92.91
2017,%,,,ընդամենը՝ հաշմանդամություն ունեցող երեխաների (0-17 տարեկան) ընդհանուր թվաքանակից,94.84
2018,%,,,ընդամենը՝ հաշմանդամություն ունեցող երեխաների (0-17 տարեկան) ընդհանուր թվաքանակից,97.66
2019,%,,,ընդամենը՝ հաշմանդամություն ունեցող երեխաների (0-17 տարեկան) ընդհանուր թվաքանակից,93.71
2020,%,,,ընդամենը՝ հաշմանդամություն ունեցող երեխաների (0-17 տարեկան) ընդհանուր թվաքանակից,89.6
2015,%,արական,,ընդամենը՝ հաշմանդամություն ունեցող երեխաների (0-17 տարեկան) ընդհանուր թվաքանակից,91.33
2016,%,արական,,ընդամենը՝ հաշմանդամություն ունեցող երեխաների (0-17 տարեկան) ընդհանուր թվաքանակից,92.18
2017,%,արական,,ընդամենը՝ հաշմանդամություն ունեցող երեխաների (0-17 տարեկան) ընդհանուր թվաքանակից,93.78
2018,%,արական,,ընդամենը՝ հաշմանդամություն ունեցող երեխաների (0-17 տարեկան) ընդհանուր թվաքանակից,96.89
2019,%,արական,,ընդամենը՝ հաշմանդամություն ունեցող երեխաների (0-17 տարեկան) ընդհանուր թվաքանակից,93.59
