Year,Units,Value
2015,"1=համապատասխանում է, 0=մասնակի է համապատասխանում",1
2016,"1=համապատասխանում է, 0=մասնակի է համապատասխանում",1
2017,"1=համապատասխանում է, 0=մասնակի է համապատասխանում",1
2018,"1=համապատասխանում է, 0=մասնակի է համապատասխանում",1
2015,"1=համապատասխանում է, 0=մասնակի է համապատասխանում",1
2016,"1=համապատասխանում է, 0=մասնակի է համապատասխանում",1
2017,"1=համապատասխանում է, 0=մասնակի է համապատասխանում",1
2018,"1=համապատասխանում է, 0=մասնակի է համապատասխանում",1
2019,"1=համապատասխանում է, 0=մասնակի է համապատասխանում",1
2020,"1=համապատասխանում է, 0=մասնակի է համապատասխանում",1
2021,"1=համապատասխանում է, 0=մասնակի է համապատասխանում",1
2022,"1=համապատասխանում է, 0=մասնակի է համապատասխանում",1
2023,"1=համապատասխանում է, 0=մասնակի է համապատասխանում",1
2024,"1=համապատասխանում է, 0=մասնակի է համապատասխանում",1
