Year,Units,Տարիք,Կատեգորիա,Value
2015,%,,ֆիզիկական բռնություն,4.5
2015,%,,սեռական բռնություն,0.3
2021,%,,ֆիզիկական բռնություն,3.5
2021,%,,սեռական բռնություն,1.9
2021,%,15-24,ֆիզիկական բռնություն,3.1
2021,%,25-34,ֆիզիկական բռնություն,4.1
2021,%,35-44,ֆիզիկական բռնություն,4.0
2021,%,45-59,ֆիզիկական բռնություն,2.8
2021,%,15-24,սեռական բռնություն,2.5
2021,%,25-34,սեռական բռնություն,1.6
2021,%,35-44,սեռական բռնություն,2.5
2021,%,45-59,սեռական բռնություն,1.6
2021,%,,physical and/or sexual violence,4.6
2021,%,15-24,physical and/or sexual violence,5.7
2021,%,25-34,physical and/or sexual violence,5.0
2021,%,35-44,physical and/or sexual violence,5.3
2021,%,45-59,physical and/or sexual violence,3.8
2021,%,,psychological violence,13.0
2021,%,15-24,psychological violence,15.7
2021,%,25-34,psychological violence,34.8
2021,%,35-44,psychological violence,29.9
2021,%,45-59,psychological violence,30.0
