Year,Units,Пол,Value
2015,"на 100,000 населения",,0.3
2016,"на 100,000 населения",,0.2
2017,"на 100,000 населения",,0.3
2015,случаи,,8.0
2016,случаи,,7.0
2017,случаи,,10.0
2018,"на 100,000 населения",,0.6
2018,случаи,,19.0
2019,"на 100,000 населения",,1.0
2019,случаи,,30.0
2020,"на 100,000 населения",,0.3
2020,случаи,,10.0
2021,"на 100,000 населения",,0.7
2021,случаи,,20.0
2015,"на 100,000 населения",мужчина,0.3
2015,случаи,мужчина,5.0
2015,"на 100,000 населения",женщина,0.2
2015,случаи,женщина,3.0
2016,случаи,мужчина,4.0
2016,"на 100,000 населения",мужчина,0.3
2016,случаи,женщина,3.0
2016,"на 100,000 населения",женщина,0.2
2017,случаи,мужчина,6.0
2017,"на 100,000 населения",мужчина,0.4
2017,случаи,женщина,4.0
2017,"на 100,000 населения",женщина,0.3
2018,случаи,мужчина,15.0
2018,"на 100,000 населения",мужчина,1.1
2018,случаи,женщина,4.0
2018,"на 100,000 населения",женщина,0.3
2019,случаи,мужчина,19.0
2019,"на 100,000 населения",мужчина,1.4
2019,случаи,женщина,11.0
2019,"на 100,000 населения",женщина,0.7
2020,случаи,мужчина,8.0
2020,"на 100,000 населения",мужчина,0.6
2020,случаи,женщина,2.0
2020,"на 100,000 населения",женщина,0.1
2021,случаи,мужчина,12.0
2021,"на 100,000 населения",мужчина,0.9
2021,случаи,женщина,8.0
2021,"на 100,000 населения",женщина,0.5
2022,случаи,,17.0
2022,"на 100,000 населения",,0.6
2022,случаи,мужчина,8.0
2022,"на 100,000 населения",мужчина,0.6
2022,случаи,женщина,9.0
2022,"на 100,000 населения",женщина,0.6
2023,случаи,,15.0
2023,"на 100,000 населения",,0.5
2023,случаи,мужчина,10.0
2023,"на 100,000 населения",мужчина,0.7
2023,случаи,женщина,15.0
2023,"на 100,000 населения",женщина,1.0
