Year,Индикатор,Units,Value
2015,"Количество исследователей (в эквиваленте полной занятости), проводящих научно-исследовательскую работу, финансируемую из государственного бюджета на миллион жителей",на миллион населения,1283.4
2016,"Количество исследователей (в эквиваленте полной занятости), проводящих научно-исследовательскую работу, финансируемую из государственного бюджета на миллион жителей",на миллион населения,1230.5
2017,"Количество исследователей (в эквиваленте полной занятости), проводящих научно-исследовательскую работу, финансируемую из государственного бюджета на миллион жителей",на миллион населения,1204.3
2018,"Количество исследователей (в эквиваленте полной занятости), проводящих научно-исследовательскую работу, финансируемую из государственного бюджета на миллион жителей",на миллион населения,1139.8
2019,"Количество исследователей (в эквиваленте полной занятости), проводящих научно-исследовательскую работу, финансируемую из государственного бюджета на миллион жителей",на миллион населения,1134.9
2020,"Количество исследователей (в эквиваленте полной занятости), проводящих научно-исследовательскую работу, финансируемую из государственного бюджета на миллион жителей",на миллион населения,1177.8
2021,"Количество исследователей (в эквиваленте полной занятости), проводящих научно-исследовательскую работу, финансируемую из государственного бюджета на миллион жителей",на миллион населения,1257.8
2022,"Количество исследователей (в эквиваленте полной занятости), проводящих научно-исследовательскую работу, финансируемую из государственного бюджета на миллион жителей",на миллион населения,1267.0
2023,"Количество исследователей (в эквиваленте полной занятости), проводящих научно-исследовательскую работу, финансируемую из государственного бюджета на миллион жителей",на миллион населения,1263.0
2024,"Количество исследователей (в эквиваленте полной занятости), проводящих научно-исследовательскую работу, финансируемую из государственного бюджета на миллион жителей",на миллион населения,1078.6
