Year,Units,Series,Value
2015,балл,"(ПРОКСИ) Прогресс в направлении продуктивного и устойчивого сельского хозяйства, показатель тренда",3.0
2016,балл,"(ПРОКСИ) Прогресс в направлении продуктивного и устойчивого сельского хозяйства, показатель тренда",1.86
2017,балл,"(ПРОКСИ) Прогресс в направлении продуктивного и устойчивого сельского хозяйства, показатель тренда",2.57
2018,балл,"(ПРОКСИ) Прогресс в направлении продуктивного и устойчивого сельского хозяйства, показатель тренда",2.43
2019,балл,"(ПРОКСИ) Прогресс в направлении продуктивного и устойчивого сельского хозяйства, показатель тренда",2.29
2020,балл,"(ПРОКСИ) Прогресс в направлении продуктивного и устойчивого сельского хозяйства, показатель тренда",2.29
2021,балл,"(ПРОКСИ) Прогресс в направлении продуктивного и устойчивого сельского хозяйства, показатель тренда",2.29
2022,балл,"(ПРОКСИ) Прогресс в направлении продуктивного и устойчивого сельского хозяйства, показатель тренда",2.29
2023,балл,"(ПРОКСИ) Прогресс в направлении продуктивного и устойчивого сельского хозяйства, показатель тренда",2.29
2024,балл,"(ПРОКСИ) Прогресс в направлении продуктивного и устойчивого сельского хозяйства, показатель тренда",2.29
2015,балл,"(ПРОКСИ) Прогресс в направлении продуктивного и устойчивого сельского хозяйства, оценка текущего состояния",2.71
2016,балл,"(ПРОКСИ) Прогресс в направлении продуктивного и устойчивого сельского хозяйства, оценка текущего состояния",2.57
2017,балл,"(ПРОКСИ) Прогресс в направлении продуктивного и устойчивого сельского хозяйства, оценка текущего состояния",2.71
2018,балл,"(ПРОКСИ) Прогресс в направлении продуктивного и устойчивого сельского хозяйства, оценка текущего состояния",2.71
2019,балл,"(ПРОКСИ) Прогресс в направлении продуктивного и устойчивого сельского хозяйства, оценка текущего состояния",2.71
2020,балл,"(ПРОКСИ) Прогресс в направлении продуктивного и устойчивого сельского хозяйства, оценка текущего состояния",2.71
2021,балл,"(ПРОКСИ) Прогресс в направлении продуктивного и устойчивого сельского хозяйства, оценка текущего состояния",2.86
2022,балл,"(ПРОКСИ) Прогресс в направлении продуктивного и устойчивого сельского хозяйства, оценка текущего состояния",2.86
2023,балл,"(ПРОКСИ) Прогресс в направлении продуктивного и устойчивого сельского хозяйства, оценка текущего состояния",3.0
2024,балл,"(ПРОКСИ) Прогресс в направлении продуктивного и устойчивого сельского хозяйства, оценка текущего состояния",3.0
