Year,Units,Возраст,Пол,Место нахождения,Value
2015,%,,всего,,7.9
2016,%,,всего,,8.3
2017,%,,всего,,9.1
2018,%,,всего,,9.9
2019,%,,всего,,10.5
2020,%,,всего,,10.1
2015,%,,мужчина,,9.4
2016,%,,мужчина,,10.0
2017,%,,мужчина,,10.9
2018,%,,мужчина,,10.5
2019,%,,мужчина,,11.3
2020,%,,мужчина,,10.4
2015,%,,женщина,,6.1
2016,%,,женщина,,6.4
2017,%,,женщина,,7.2
2018,%,,женщина,,9.2
2019,%,,женщина,,9.5
2020,%,,женщина,,9.7
2015,%,,,город,11.1
2016,%,,,город,12.0
2017,%,,,город,13.2
2018,%,,,город,13.5
2019,%,,,город,13.7
2020,%,,,город,13.4
2015,%,,,село,4.3
2016,%,,,село,4.3
2017,%,,,село,4.6
2018,%,,,село,6.0
2019,%,,,село,6.2
2020,%,,,село,5.6
2021,%,,всего,,9.8
2021,%,,мужчина,,10.3
2021,%,,женщина,,9.3
2021,%,,,город,13.2
2021,%,,,село,5.7
