Year,Units,Категория,Value
2017,число,Plant genetic resources accessions stored ex situ,6918
2018,число,Plant genetic resources accessions stored ex situ,6918
2019,число,Plant genetic resources accessions stored ex situ,6918
2023,число,Plant genetic resources accessions stored ex situ,6830
2024,число,Plant genetic resources accessions stored ex situ,6830
2016,число,Plant genetic resources accessions stored ex situ,6789
2021,число,Plant genetic resources accessions stored ex situ,6458
2022,число,Plant genetic resources accessions stored ex situ,6458
2020,число,Plant genetic resources accessions stored ex situ,4297
2015,число,Количество трансграничных пород (включая вымершие),25
2016,число,Количество трансграничных пород (включая вымершие),25
2017,число,Количество трансграничных пород (включая вымершие),25
2018,число,Количество трансграничных пород (включая вымершие),25
2019,число,Количество трансграничных пород (включая вымершие),25
2020,число,Количество трансграничных пород (включая вымершие),25
2021,число,Количество трансграничных пород (включая вымершие),25
2022,число,Количество трансграничных пород (включая вымершие),25
2023,число,Количество трансграничных пород (включая вымершие),25
2024,число,Количество трансграничных пород (включая вымершие),25
2025,число,Количество трансграничных пород (включая вымершие),25
2015,число,"Количество местных пород, существующих в стране",14
2016,число,"Количество местных пород, существующих в стране",14
2017,число,"Количество местных пород, существующих в стране",14
2018,число,"Количество местных пород, существующих в стране",14
2019,число,"Количество местных пород, существующих в стране",14
2020,число,"Количество местных пород, существующих в стране",14
2021,число,"Количество местных пород, существующих в стране",14
2022,число,"Количество местных пород, существующих в стране",14
2023,число,"Количество местных пород, существующих в стране",14
2024,число,"Количество местных пород, существующих в стране",14
2025,число,"Количество местных пород, существующих в стране",14
