Year,Units,Категория,Value
2010-2015,%,расходы домохозяйств или рост доходов на душу населения среди самых низких 40 процентов населения,102.51
2011-2016,%,расходы домохозяйств или рост доходов на душу населения среди самых низких 40 процентов населения,102.24
2012-2017,%,расходы домохозяйств или рост доходов на душу населения среди самых низких 40 процентов населения,101.8
2013-2018,%,расходы домохозяйств или рост доходов на душу населения среди самых низких 40 процентов населения,101.26
2020,%,расходы домохозяйств или рост доходов на душу населения среди самых низких 40 процентов населения,100.07
2021,%,расходы домохозяйств или рост доходов на душу населения среди самых низких 40 процентов населения,100.06
2010-2015,%,расходы домохозяйств или рост доходов на душу населения среди всего населения,103.83
2011-2016,%,расходы домохозяйств или рост доходов на душу населения среди всего населения,104.47
2012-2017,%,расходы домохозяйств или рост доходов на душу населения среди всего населения,103.16
2013-2018,%,расходы домохозяйств или рост доходов на душу населения среди всего населения,102.4
2020,%,расходы домохозяйств или рост доходов на душу населения среди всего населения,99.07
2021,%,расходы домохозяйств или рост доходов на душу населения среди всего населения,100.12
2022,%,расходы домохозяйств или рост доходов на душу населения среди самых низких 40 процентов населения,100.15
2022,%,расходы домохозяйств или рост доходов на душу населения среди всего населения,100.17
2023,%,расходы домохозяйств или рост доходов на душу населения среди самых низких 40 процентов населения,100.03
2023,%,расходы домохозяйств или рост доходов на душу населения среди всего населения,99.99
