Year,Units,Категория,Value
2015,"на 100,000 населения",инфекционные и паразитарные заболевания,0.3
2016,"на 100,000 населения",инфекционные и паразитарные заболевания,0.2
2017,"на 100,000 населения",инфекционные и паразитарные заболевания,0.2
2018,"на 100,000 населения",инфекционные и паразитарные заболевания,0.1
2019,"на 100,000 населения",инфекционные и паразитарные заболевания,0.3
2020,"на 100,000 населения",инфекционные и паразитарные заболевания,0.4
2021,"на 100,000 населения",инфекционные и паразитарные заболевания,0.8
2022,"на 100,000 населения",инфекционные и паразитарные заболевания,0.0
2023,"на 100,000 населения",инфекционные и паразитарные заболевания,0.1
2024,"на 100,000 населения",инфекционные и паразитарные заболевания,0.1
