Year,Units,Место нахождения,Пол,Возраст,Тип,Value
2015,%,,,,,29.8
2016,%,,,,,29.4
2017,%,,,,,25.7
2018,%,,,,,23.5
2019,%,,,,,26.4
2020,%,,,,,27.0
2021,%,,,,,26.5
2015,%,город,,,,29.4
2016,%,город,,,,28.8
2017,%,город,,,,25.0
2018,%,город,,,,24.9
2019,%,город,,,,22.2
2020,%,город,,,,22.5
2021,%,город,,,,21.8
2015,%,село,,,,30.4
2016,%,село,,,,30.4
2017,%,село,,,,26.8
2018,%,село,,,,21.3
2019,%,село,,,,33.2
2020,%,село,,,,33.6
2021,%,село,,,,33.0
2015,%,,женщина,,,30.1
2016,%,,женщина,,,30.2
2017,%,,женщина,,,26.3
2018,%,,женщина,,,23.6
2019,%,,женщина,,,26.0
2020,%,,женщина,,,26.3
2021,%,,женщина,,,25.8
2015,%,,женщина,0-5 лет,,36.2
2016,%,,женщина,0-5 лет,,35.1
2017,%,,женщина,0-5 лет,,32.7
2018,%,,женщина,0-5 лет,,29.8
2019,%,,женщина,0-5 лет,,32.8
2020,%,,женщина,0-5 лет,,34.2
2021,%,,женщина,0-5 лет,,35.9
2015,%,,женщина,6-17 лет,,35.2
2016,%,,женщина,6-17 лет,,36.4
2017,%,,женщина,6-17 лет,,32.2
2018,%,,женщина,6-17 лет,,28.0
2019,%,,женщина,6-17 лет,,33.7
2020,%,,женщина,6-17 лет,,34.4
2021,%,,женщина,6-17 лет,,34.4
2015,%,,женщина,18-64 лет,,28.6
2016,%,,женщина,18-64 лет,,28.3
2017,%,,женщина,18-64 лет,,25.3
2018,%,,женщина,18-64 лет,,22.6
2019,%,,женщина,18-64 лет,,25.3
2020,%,,женщина,18-64 лет,,25.4
2021,%,,женщина,18-64 лет,,24.3
2015,%,,женщина,65 и более лет,,28.9
2016,%,,женщина,65 и более лет,,29.8
2017,%,,женщина,65 и более лет,,23.2
2018,%,,женщина,65 и более лет,,21.3
2019,%,,женщина,65 и более лет,,20.6
2020,%,,женщина,65 и более лет,,20.9
2021,%,,женщина,65 и более лет,,20.4
2015,%,,мужчина,,,29.5
2016,%,,мужчина,,,28.5
2017,%,,мужчина,,,25.0
2018,%,,мужчина,,,23.4
2019,%,,мужчина,,,26.5
2020,%,,мужчина,,,27.9
2021,%,,мужчина,,,27.3
2015,%,,мужчина,0-5 лет,,32.9
2016,%,,мужчина,0-5 лет,,32.0
2017,%,,мужчина,0-5 лет,,30.9
2018,%,,мужчина,0-5 лет,,33.2
2019,%,,мужчина,0-5 лет,,36.4
2020,%,,мужчина,0-5 лет,,33.9
2021,%,,мужчина,0-5 лет,,37.6
2015,%,,мужчина,6-17 лет,,31.8
2016,%,,мужчина,6-17 лет,,32.5
2017,%,,мужчина,6-17 лет,,28.7
2018,%,,мужчина,6-17 лет,,28.2
2019,%,,мужчина,6-17 лет,,32.4
2020,%,,мужчина,6-17 лет,,33.4
2021,%,,мужчина,6-17 лет,,34.8
2015,%,,мужчина,18-64 лет,,28.4
2016,%,,мужчина,18-64 лет,,26.7
2017,%,,мужчина,18-64 лет,,23.7
2018,%,,мужчина,18-64 лет,,21.1
2019,%,,мужчина,18-64 лет,,24.7
2020,%,,мужчина,18-64 лет,,26.3
2021,%,,мужчина,18-64 лет,,24.6
2015,%,,мужчина,65 и более лет,,28.7
2016,%,,мужчина,65 и более лет,,27.8
2017,%,,мужчина,65 и более лет,,22.2
2018,%,,мужчина,65 и более лет,,20.9
2019,%,,мужчина,65 и более лет,,22.3
2020,%,,мужчина,65 и более лет,,24.4
2021,%,,мужчина,65 и более лет,,22.6
2015,%,,,,инвалиды,31.7
2016,%,,,,инвалиды,29.0
2017,%,,,,инвалиды,25.9
2018,%,,,,инвалиды,22.9
2019,%,,,,инвалиды,27.2
2020,%,,,,инвалиды,27.2
2021,%,,,,инвалиды,27.8
2022,%,,,,,24.8
2022,%,город,,,,22.1
2022,%,село,,,,29.0
2022,%,,женщина,,,24.7
2022,%,,женщина,0-5 лет,,33.2
2022,%,,женщина,6-17 лет,,32.5
2022,%,,женщина,18-64 лет,,24.1
2022,%,,женщина,65 и более лет,,18.9
2022,%,,мужчина,,,25.0
2022,%,,мужчина,0-5 лет,,31.4
2022,%,,мужчина,6-17 лет,,32.1
2022,%,,мужчина,18-64 лет,,23.1
2022,%,,мужчина,65 и более лет,,20.0
2022,%,,,,инвалиды,25.8
2023,%,,,,,23.7
2023,%,город,,,,21.5
2023,%,село,,,,27.0
2023,%,,женщина,,,23.7
2023,%,,женщина,0-5 лет,,30.3
2023,%,,женщина,6-17 лет,,33.3
2023,%,,женщина,18-64 лет,,23.1
2023,%,,женщина,65 и более лет,,17.3
2023,%,,мужчина,,,23.8
2023,%,,мужчина,0-5 лет,,33.8
2023,%,,мужчина,6-17 лет,,30.0
2023,%,,мужчина,18-64 лет,,21.6
2023,%,,мужчина,65 и более лет,,18.9
2023,%,,,,инвалиды,23.1
