Year,Access to servises,Units,Место нахождения,Пол,Бедность,Value
2015,centralized water supply accessibility for household members,%,,,,97.3
2016,centralized water supply accessibility for household members,%,,,,97.9
2017,centralized water supply accessibility for household members,%,,,,97.3
2018,centralized water supply accessibility for household members,%,,,,97.9
2019,centralized water supply accessibility for household members,%,,,,96.1
2020,centralized water supply accessibility for household members,%,,,,95.5
2021,centralized water supply accessibility for household members,%,,,,95.3
2015,centralized water supply accessibility for household members,%,город,,,99.9
2016,centralized water supply accessibility for household members,%,город,,,100.0
2017,centralized water supply accessibility for household members,%,город,,,99.9
2018,centralized water supply accessibility for household members,%,город,,,99.7
2019,centralized water supply accessibility for household members,%,город,,,99.5
2020,centralized water supply accessibility for household members,%,город,,,99.7
2021,centralized water supply accessibility for household members,%,город,,,99.9
2015,centralized water supply accessibility for household members,%,село,,,92.5
2016,centralized water supply accessibility for household members,%,село,,,94.0
2017,centralized water supply accessibility for household members,%,село,,,93.3
2018,centralized water supply accessibility for household members,%,село,,,94.4
2019,centralized water supply accessibility for household members,%,село,,,90.6
2020,centralized water supply accessibility for household members,%,село,,,89.6
2021,centralized water supply accessibility for household members,%,село,,,89.6
2015,centralized sewerage system accessibility for household members,%,,,,69.9
2016,centralized sewerage system accessibility for household members,%,,,,69.7
2017,centralized sewerage system accessibility for household members,%,,,,69.8
2018,centralized sewerage system accessibility for household members,%,,,,71.9
2019,centralized sewerage system accessibility for household members,%,,,,74.7
2020,centralized sewerage system accessibility for household members,%,,,,77.9
2021,centralized sewerage system accessibility for household members,%,,,,76.7
2015,centralized sewerage system accessibility for household members,%,город,,,96.4
2016,centralized sewerage system accessibility for household members,%,город,,,96.1
2017,centralized sewerage system accessibility for household members,%,город,,,97.8
2018,centralized sewerage system accessibility for household members,%,город,,,98.1
2019,centralized sewerage system accessibility for household members,%,город,,,97.3
2020,centralized sewerage system accessibility for household members,%,город,,,98.7
2021,centralized sewerage system accessibility for household members,%,город,,,99.3
2015,centralized sewerage system accessibility for household members,%,село,,,20.3
2016,centralized sewerage system accessibility for household members,%,село,,,20.3
2017,centralized sewerage system accessibility for household members,%,село,,,25.3
2018,centralized sewerage system accessibility for household members,%,село,,,28.6
2019,centralized sewerage system accessibility for household members,%,село,,,38.1
2020,centralized sewerage system accessibility for household members,%,село,,,48.6
2021,centralized sewerage system accessibility for household members,%,село,,,47.5
2015,garbage disposal accessibility for household members,%,,,,87.6
2016,garbage disposal accessibility for household members,%,,,,86.6
2017,garbage disposal accessibility for household members,%,,,,91.7
2018,garbage disposal accessibility for household members,%,,,,93.6
2019,garbage disposal accessibility for household members,%,,,,95.7
2020,garbage disposal accessibility for household members,%,,,,97.0
2021,garbage disposal accessibility for household members,%,,,,95.7
2015,garbage disposal accessibility for household members,%,город,,,98.7
2016,garbage disposal accessibility for household members,%,город,,,98.7
2017,garbage disposal accessibility for household members,%,город,,,99.8
2018,garbage disposal accessibility for household members,%,город,,,99.4
2019,garbage disposal accessibility for household members,%,город,,,99.9
2020,garbage disposal accessibility for household members,%,город,,,99.4
2021,garbage disposal accessibility for household members,%,город,,,99.8
2015,garbage disposal accessibility for household members,%,село,,,66.7
2016,garbage disposal accessibility for household members,%,село,,,63.6
2017,garbage disposal accessibility for household members,%,село,,,78.7
2018,garbage disposal accessibility for household members,%,село,,,84.2
2019,garbage disposal accessibility for household members,%,село,,,89.0
2020,garbage disposal accessibility for household members,%,село,,,92.6
2021,garbage disposal accessibility for household members,%,село,,,89.5
2015,доступ членов домашнего хозяйства к интернету,%,,,,59.1
2016,доступ членов домашнего хозяйства к интернету,%,,,,64.3
2017,доступ членов домашнего хозяйства к интернету,%,,,,64.7
2018,доступ членов домашнего хозяйства к интернету,%,,,,68.2
2019,доступ членов домашнего хозяйства к интернету,%,,,,66.5
2020,доступ членов домашнего хозяйства к интернету,%,,,,76.5
2021,доступ членов домашнего хозяйства к интернету,%,,,,78.6
2015,доступ членов домашнего хозяйства к интернету,%,,мужчина,,60.8
2016,доступ членов домашнего хозяйства к интернету,%,,мужчина,,65.5
2017,доступ членов домашнего хозяйства к интернету,%,,мужчина,,66.3
2018,доступ членов домашнего хозяйства к интернету,%,,мужчина,,69.9
2019,доступ членов домашнего хозяйства к интернету,%,,мужчина,,65.8
2020,доступ членов домашнего хозяйства к интернету,%,,мужчина,,74.9
2021,доступ членов домашнего хозяйства к интернету,%,,мужчина,,75.5
2015,доступ членов домашнего хозяйства к интернету,%,,женщина,,57.8
2016,доступ членов домашнего хозяйства к интернету,%,,женщина,,63.4
2017,доступ членов домашнего хозяйства к интернету,%,,женщина,,63.4
2018,доступ членов домашнего хозяйства к интернету,%,,женщина,,66.9
2019,доступ членов домашнего хозяйства к интернету,%,,женщина,,67.2
2020,доступ членов домашнего хозяйства к интернету,%,,женщина,,78.1
2021,доступ членов домашнего хозяйства к интернету,%,,женщина,,81.4
2015,electricity supply accessibility for household members,%,,,,99.6
2016,electricity supply accessibility for household members,%,,,,99.8
2017,electricity supply accessibility for household members,%,,,,99.7
2018,electricity supply accessibility for household members,%,,,,99.9
2019,electricity supply accessibility for household members,%,,,,100.0
2020,electricity supply accessibility for household members,%,,,,100.0
2021,electricity supply accessibility for household members,%,,,,100.0
2015,electricity supply accessibility for household members,%,город,,,95.5
2016,electricity supply accessibility for household members,%,город,,,99.8
2017,electricity supply accessibility for household members,%,город,,,99.8
2018,electricity supply accessibility for household members,%,город,,,99.9
2019,electricity supply accessibility for household members,%,город,,,100.0
2020,electricity supply accessibility for household members,%,город,,,100.0
2021,electricity supply accessibility for household members,%,город,,,100.0
2015,electricity supply accessibility for household members,%,село,,,96.7
2016,electricity supply accessibility for household members,%,село,,,99.7
2017,electricity supply accessibility for household members,%,село,,,99.7
2018,electricity supply accessibility for household members,%,село,,,99.9
2019,electricity supply accessibility for household members,%,село,,,100.0
2020,electricity supply accessibility for household members,%,село,,,100.0
2021,electricity supply accessibility for household members,%,село,,,100.0
2017,proportion of household members with primary reliance on clean fuels and technology,%,,,,57.0
2018,proportion of household members with primary reliance on clean fuels and technology,%,,,,59.3
2019,proportion of household members with primary reliance on clean fuels and technology,%,,,,69.2
2020,proportion of household members with primary reliance on clean fuels and technology,%,,,,73.3
2021,proportion of household members with primary reliance on clean fuels and technology,%,,,,69.9
2015,proportion of household members with primary reliance on clean fuels and technology,%,город,,,82.5
2016,proportion of household members with primary reliance on clean fuels and technology,%,город,,,81.3
2017,proportion of household members with primary reliance on clean fuels and technology,%,город,,,84.0
2018,proportion of household members with primary reliance on clean fuels and technology,%,город,,,85.1
2019,proportion of household members with primary reliance on clean fuels and technology,%,город,,,92.9
2020,proportion of household members with primary reliance on clean fuels and technology,%,город,,,94.8
2021,proportion of household members with primary reliance on clean fuels and technology,%,город,,,93.4
2015,proportion of household members with primary reliance on clean fuels and technology,%,село,,,15.5
2016,proportion of household members with primary reliance on clean fuels and technology,%,село,,,13.3
2017,proportion of household members with primary reliance on clean fuels and technology,%,село,,,14.5
2018,proportion of household members with primary reliance on clean fuels and technology,%,село,,,17.2
2019,proportion of household members with primary reliance on clean fuels and technology,%,село,,,31.5
2020,proportion of household members with primary reliance on clean fuels and technology,%,село,,,42.7
2021,proportion of household members with primary reliance on clean fuels and technology,%,село,,,40.5
2021,centralized water supply accessibility for household members,%,,мужчина,,94.9
2021,centralized water supply accessibility for household members,%,,женщина,,95.7
2021,centralized water supply accessibility for household members,%,,,не бедный,95.8
2021,centralized water supply accessibility for household members,%,,,бедный,94.8
2021,centralized water supply accessibility for household members,%,,,very poor,95.7
2021,centralized sewerage system accessibility for household members,%,,мужчина,,75.2
2021,centralized sewerage system accessibility for household members,%,,женщина,,78.1
2021,centralized sewerage system accessibility for household members,%,,,не бедный,81.5
2021,centralized sewerage system accessibility for household members,%,,,бедный,71.3
2021,centralized sewerage system accessibility for household members,%,,,very poor,63.4
2021,garbage disposal accessibility for household members,%,,мужчина,,95.2
2021,garbage disposal accessibility for household members,%,,женщина,,96.1
2021,garbage disposal accessibility for household members,%,,,не бедный,95.1
2021,garbage disposal accessibility for household members,%,,,бедный,96.3
2021,garbage disposal accessibility for household members,%,,,very poor,100.0
2021,доступ членов домашнего хозяйства к интернету,%,,,не бедный,81.4
2021,доступ членов домашнего хозяйства к интернету,%,,,бедный,75.7
2021,доступ членов домашнего хозяйства к интернету,%,,,very poor,59.9
2021,electricity supply accessibility for household members,%,,мужчина,,100.0
2021,electricity supply accessibility for household members,%,,женщина,,100.0
2021,electricity supply accessibility for household members,%,,,не бедный,100.0
2021,electricity supply accessibility for household members,%,,,бедный,100.0
2021,electricity supply accessibility for household members,%,,,very poor,100.0
2021,proportion of household members with primary reliance on clean fuels and technology,%,,мужчина,,67.8
2021,proportion of household members with primary reliance on clean fuels and technology,%,,женщина,,71.8
2021,proportion of household members with primary reliance on clean fuels and technology,%,,,не бедный,76.9
2021,proportion of household members with primary reliance on clean fuels and technology,%,,,бедный,62.2
2021,proportion of household members with primary reliance on clean fuels and technology,%,,,very poor,43.4
2022,centralized water supply accessibility for household members,%,,,,94.6
2022,centralized water supply accessibility for household members,%,город,,,99.6
2022,centralized water supply accessibility for household members,%,село,,,87.3
2022,centralized water supply accessibility for household members,%,,мужчина,,94.2
2022,centralized water supply accessibility for household members,%,,женщина,,95.0
2022,centralized water supply accessibility for household members,%,,,не бедный,94.6
2022,centralized water supply accessibility for household members,%,,,бедный,94.8
2022,centralized water supply accessibility for household members,%,,,very poor,82.2
2022,centralized sewerage system accessibility for household members,%,,,,78.4
2022,centralized sewerage system accessibility for household members,%,город,,,98.1
2022,centralized sewerage system accessibility for household members,%,село,,,48.9
2022,centralized sewerage system accessibility for household members,%,,мужчина,,77.0
2022,centralized sewerage system accessibility for household members,%,,женщина,,79.6
2022,centralized sewerage system accessibility for household members,%,,,не бедный,79.6
2022,centralized sewerage system accessibility for household members,%,,,бедный,74.6
2022,centralized sewerage system accessibility for household members,%,,,very poor,71.5
2022,garbage disposal accessibility for household members,%,,,,95.7
2022,garbage disposal accessibility for household members,%,город,,,99.9
2022,garbage disposal accessibility for household members,%,село,,,89.4
2022,garbage disposal accessibility for household members,%,,мужчина,,95.4
2022,garbage disposal accessibility for household members,%,,женщина,,95.9
2022,garbage disposal accessibility for household members,%,,,не бедный,96.0
2022,garbage disposal accessibility for household members,%,,,бедный,94.9
2022,garbage disposal accessibility for household members,%,,,very poor,84.3
2022,доступ членов домашнего хозяйства к интернету,%,,,,77.0
2022,доступ членов домашнего хозяйства к интернету,%,город,,,79.5
2022,доступ членов домашнего хозяйства к интернету,%,село,,,73.3
2022,доступ членов домашнего хозяйства к интернету,%,,мужчина,,74.4
2022,доступ членов домашнего хозяйства к интернету,%,,женщина,,79.3
2022,доступ членов домашнего хозяйства к интернету,%,,,не бедный,78.4
2022,доступ членов домашнего хозяйства к интернету,%,,,бедный,72.7
2022,доступ членов домашнего хозяйства к интернету,%,,,very poor,62.8
2022,electricity supply accessibility for household members,%,,,,100.0
2022,electricity supply accessibility for household members,%,город,,,100.0
2022,electricity supply accessibility for household members,%,село,,,100.0
2022,electricity supply accessibility for household members,%,,мужчина,,100.0
2022,electricity supply accessibility for household members,%,,женщина,,100.0
2022,electricity supply accessibility for household members,%,,,не бедный,100.0
2022,electricity supply accessibility for household members,%,,,бедный,100.0
2022,electricity supply accessibility for household members,%,,,very poor,100.0
2022,proportion of population using hand-washing facility with soap,%,,,,98.0
2022,proportion of population using hand-washing facility with soap,%,город,,,99.2
2022,proportion of population using hand-washing facility with soap,%,село,,,96.2
2022,proportion of population using hand-washing facility with soap,%,,мужчина,,98.0
2022,proportion of population using hand-washing facility with soap,%,,женщина,,98.0
2022,proportion of population using hand-washing facility with soap,%,,,не бедный,98.4
2022,proportion of population using hand-washing facility with soap,%,,,бедный,97.5
2022,proportion of population using hand-washing facility with soap,%,,,very poor,94.2
2023,centralized water supply accessibility for household members,%,,,,94.2
2023,centralized water supply accessibility for household members,%,город,,,99.0
2023,centralized water supply accessibility for household members,%,село,,,87.4
2023,centralized water supply accessibility for household members,%,,мужчина,,93.9
2023,centralized water supply accessibility for household members,%,,женщина,,94.6
2023,centralized water supply accessibility for household members,%,,,не бедный,95.1
2023,centralized water supply accessibility for household members,%,,,бедный,91.4
2023,centralized water supply accessibility for household members,%,,,very poor,79.2
2023,centralized sewerage system accessibility for household members,%,,,,77.4
2023,centralized sewerage system accessibility for household members,%,город,,,97.0
2023,centralized sewerage system accessibility for household members,%,село,,,48.8
2023,centralized sewerage system accessibility for household members,%,,мужчина,,76.1
2023,centralized sewerage system accessibility for household members,%,,женщина,,78.4
2023,centralized sewerage system accessibility for household members,%,,,не бедный,78.0
2023,centralized sewerage system accessibility for household members,%,,,бедный,75.2
2023,centralized sewerage system accessibility for household members,%,,,very poor,63.9
2023,garbage disposal accessibility for household members,%,,,,96.4
2023,garbage disposal accessibility for household members,%,город,,,99.7
2023,garbage disposal accessibility for household members,%,село,,,91.6
2023,garbage disposal accessibility for household members,%,,мужчина,,96.2
2023,garbage disposal accessibility for household members,%,,женщина,,96.6
2023,garbage disposal accessibility for household members,%,,,не бедный,97.0
2023,garbage disposal accessibility for household members,%,,,бедный,94.3
2023,garbage disposal accessibility for household members,%,,,very poor,88.4
2023,доступ членов домашнего хозяйства к интернету,%,,,,80.0
2023,доступ членов домашнего хозяйства к интернету,%,город,,,83.5
2023,доступ членов домашнего хозяйства к интернету,%,село,,,74.9
2023,доступ членов домашнего хозяйства к интернету,%,,мужчина,,77.9
2023,доступ членов домашнего хозяйства к интернету,%,,женщина,,81.9
2023,доступ членов домашнего хозяйства к интернету,%,,,не бедный,81.1
2023,доступ членов домашнего хозяйства к интернету,%,,,бедный,76.3
2023,доступ членов домашнего хозяйства к интернету,%,,,very poor,61.0
2023,electricity supply accessibility for household members,%,,,,100.0
2023,electricity supply accessibility for household members,%,город,,,100.0
2023,electricity supply accessibility for household members,%,село,,,100.0
2023,electricity supply accessibility for household members,%,,мужчина,,100.0
2023,electricity supply accessibility for household members,%,,женщина,,100.0
2023,electricity supply accessibility for household members,%,,,не бедный,100.0
2023,electricity supply accessibility for household members,%,,,бедный,100.0
2023,electricity supply accessibility for household members,%,,,very poor,100.0
2023,proportion of population using hand-washing facility with soap,%,,,,97.9
2023,proportion of population using hand-washing facility with soap,%,город,,,98.9
2023,proportion of population using hand-washing facility with soap,%,село,,,96.5
2023,proportion of population using hand-washing facility with soap,%,,мужчина,,97.8
2023,proportion of population using hand-washing facility with soap,%,,женщина,,98.0
2023,proportion of population using hand-washing facility with soap,%,,,не бедный,98.3
