Year,UNITS,Գտնվելու վայրը,Սեռ,Աղքատություն,Կատեգորիա,Quintiles,Value
2015,%,,,,,,2.7
2016,%,,,,,,2.7
2019,%,,,,,,2.3
2020,%,,,,,,1.5
2021,%,,,,,,1.1
2022,%,,,,,,2.7
2023,%,,,,,,2.0
2019,%,Urban,,,,,2.5
2020,%,Urban,,,,,1.8
2021,%,Urban,,,,,1.2
2022,%,Urban,,,,,3.4
2023,%,Urban,,,,,2.3
2019,%,Rural,,,,,2.0
2020,%,Rural,,,,,1.2
2021,%,Rural,,,,,0.8
2022,%,Rural,,,,,1.6
2023,%,Rural,,,,,1.5
2019,%,,Male,,,,2.2
2020,%,,Male,,,,1.6
2021,%,,Male,,,,1.0
2022,%,,Male,,,,2.6
2023,%,,Male,,,,2.0
2019,%,,Female,,,,2.3
2020,%,,Female,,,,1.5
2021,%,,Female,,,,1.1
2022,%,,Female,,,,2.8
2023,%,,Female,,,,2.0
2019,%,,,Non poor,,,1.7
2020,%,,,Non poor,,,1.3
2021,%,,,Non poor,,,0.9
2022,%,,,Non poor,,,1.9
2023,%,,,Non poor,,,1.9
2019,%,,,Poor,,,4.0
2020,%,,,Poor,,,2.1
2021,%,,,Poor,,,1.5
2022,%,,,Poor,,,4.6
2023,%,,,Poor,,,2.2
2019,%,,,Extreme poor,,,6.6
2020,%,,,Extreme poor,,,3.5
2021,%,,,Extreme poor,,,0.0
2022,%,,,Extreme poor,,,7.2
2023,%,,,Extreme poor,,,5.5
2019,%,,,,Disabled,,3.1
2020,%,,,,Disabled,,2.0
2021,%,,,,Disabled,,1.4
2022,%,,,,Disabled,,4.0
2023,%,,,,Disabled,,2.5
2019,%,,,,,I-ին քվինտիլ,4.4
2020,%,,,,,I-ին քվինտիլ,2.3
2021,%,,,,,I-ին քվինտիլ,1.6
2022,%,,,,,I-ին քվինտիլ,5.0
2023,%,,,,,I-ին քվինտիլ,2.3
2019,%,,,,,II-րդ քվինտիլ,2.0
2020,%,,,,,II-րդ քվինտիլ,1.3
2021,%,,,,,II-րդ քվինտիլ,0.9
2022,%,,,,,II-րդ քվինտիլ,3.0
2023,%,,,,,II-րդ քվինտիլ,2.0
2019,%,,,,,III-րդ քվինտիլ,1.9
2020,%,,,,,III-րդ քվինտիլ,1.3
2021,%,,,,,III-րդ քվինտիլ,1.1
2022,%,,,,,III-րդ քվինտիլ,1.5
2023,%,,,,,III-րդ քվինտիլ,1.9
2019,%,,,,,IV-րդ քվինտիլ,1.9
2020,%,,,,,IV-րդ քվինտիլ,1.3
2021,%,,,,,IV-րդ քվինտիլ,1.1
2022,%,,,,,IV-րդ քվինտիլ,2.7
2023,%,,,,,IV-րդ քվինտիլ,1.9
2019,%,,,,,V-րդ քվինտիլ,1.3
2020,%,,,,,V-րդ քվինտիլ,1.4
2021,%,,,,,V-րդ քվինտիլ,0.6
2022,%,,,,,V-րդ քվինտիլ,1.4
2023,%,,,,,V-րդ քվինտիլ,1.8
