Year,Units,Series,Value
2015,միավոր,"Արդյունավետ և կայուն գյուղատնտեսության ուղղությամբ առաջընթաց, միտումների գնահատական",3.0
2016,միավոր,"Արդյունավետ և կայուն գյուղատնտեսության ուղղությամբ առաջընթաց, միտումների գնահատական",1.86
2017,միավոր,"Արդյունավետ և կայուն գյուղատնտեսության ուղղությամբ առաջընթաց, միտումների գնահատական",2.57
2018,միավոր,"Արդյունավետ և կայուն գյուղատնտեսության ուղղությամբ առաջընթաց, միտումների գնահատական",2.43
2019,միավոր,"Արդյունավետ և կայուն գյուղատնտեսության ուղղությամբ առաջընթաց, միտումների գնահատական",2.29
2020,միավոր,"Արդյունավետ և կայուն գյուղատնտեսության ուղղությամբ առաջընթաց, միտումների գնահատական",2.29
2021,միավոր,"Արդյունավետ և կայուն գյուղատնտեսության ուղղությամբ առաջընթաց, միտումների գնահատական",2.29
2022,միավոր,"Արդյունավետ և կայուն գյուղատնտեսության ուղղությամբ առաջընթաց, միտումների գնահատական",2.29
2023,միավոր,"Արդյունավետ և կայուն գյուղատնտեսության ուղղությամբ առաջընթաց, միտումների գնահատական",2.29
2024,միավոր,"Արդյունավետ և կայուն գյուղատնտեսության ուղղությամբ առաջընթաց, միտումների գնահատական",2.29
2015,միավոր,"Արդյունավետ և կայուն գյուղատնտեսության ուղղությամբ առաջընթաց, ներկայիս կարգավիճակի գնահատական",2.71
2016,միավոր,"Արդյունավետ և կայուն գյուղատնտեսության ուղղությամբ առաջընթաց, ներկայիս կարգավիճակի գնահատական",2.57
2017,միավոր,"Արդյունավետ և կայուն գյուղատնտեսության ուղղությամբ առաջընթաց, ներկայիս կարգավիճակի գնահատական",2.71
2018,միավոր,"Արդյունավետ և կայուն գյուղատնտեսության ուղղությամբ առաջընթաց, ներկայիս կարգավիճակի գնահատական",2.71
2019,միավոր,"Արդյունավետ և կայուն գյուղատնտեսության ուղղությամբ առաջընթաց, ներկայիս կարգավիճակի գնահատական",2.71
2020,միավոր,"Արդյունավետ և կայուն գյուղատնտեսության ուղղությամբ առաջընթաց, ներկայիս կարգավիճակի գնահատական",2.71
2021,միավոր,"Արդյունավետ և կայուն գյուղատնտեսության ուղղությամբ առաջընթաց, ներկայիս կարգավիճակի գնահատական",2.86
2022,միավոր,"Արդյունավետ և կայուն գյուղատնտեսության ուղղությամբ առաջընթաց, ներկայիս կարգավիճակի գնահատական",2.86
2023,միավոր,"Արդյունավետ և կայուն գյուղատնտեսության ուղղությամբ առաջընթաց, ներկայիս կարգավիճակի գնահատական",3.0
2024,միավոր,"Արդյունավետ և կայուն գյուղատնտեսության ուղղությամբ առաջընթաց, ներկայիս կարգավիճակի գնահատական",3.0
