Year,Series,Units,Value
2015,Երկրում պարենի և գյուղատնտեսության համար բույսերի գենետիկական ռեսուրսների փոխանցման վերաբերյալ ստանդարտ նյութերի փոխանցման պայմանագրերի (SMTA) ընդհանուր հաշվառված քանակը,թվաքանակ,138
2016,Երկրում պարենի և գյուղատնտեսության համար բույսերի գենետիկական ռեսուրսների փոխանցման վերաբերյալ ստանդարտ նյութերի փոխանցման պայմանագրերի (SMTA) ընդհանուր հաշվառված քանակը,թվաքանակ,153
2017,Երկրում պարենի և գյուղատնտեսության համար բույսերի գենետիկական ռեսուրսների փոխանցման վերաբերյալ ստանդարտ նյութերի փոխանցման պայմանագրերի (SMTA) ընդհանուր հաշվառված քանակը,թվաքանակ,161
2018,Երկրում պարենի և գյուղատնտեսության համար բույսերի գենետիկական ռեսուրսների փոխանցման վերաբերյալ ստանդարտ նյութերի փոխանցման պայմանագրերի (SMTA) ընդհանուր հաշվառված քանակը,թվաքանակ,165
2019,Երկրում պարենի և գյուղատնտեսության համար բույսերի գենետիկական ռեսուրսների փոխանցման վերաբերյալ ստանդարտ նյութերի փոխանցման պայմանագրերի (SMTA) ընդհանուր հաշվառված քանակը,թվաքանակ,165
2020,Երկրում պարենի և գյուղատնտեսության համար բույսերի գենետիկական ռեսուրսների փոխանցման վերաբերյալ ստանդարտ նյութերի փոխանցման պայմանագրերի (SMTA) ընդհանուր հաշվառված քանակը,թվաքանակ,165
2021,Երկրում պարենի և գյուղատնտեսության համար բույսերի գենետիկական ռեսուրսների փոխանցման վերաբերյալ ստանդարտ նյութերի փոխանցման պայմանագրերի (SMTA) ընդհանուր հաշվառված քանակը,թվաքանակ,165
2022,Երկրում պարենի և գյուղատնտեսության համար բույսերի գենետիկական ռեսուրսների փոխանցման վերաբերյալ ստանդարտ նյութերի փոխանցման պայմանագրերի (SMTA) ընդհանուր հաշվառված քանակը,թվաքանակ,166
2023,Երկրում պարենի և գյուղատնտեսության համար բույսերի գենետիկական ռեսուրսների փոխանցման վերաբերյալ ստանդարտ նյութերի փոխանցման պայմանագրերի (SMTA) ընդհանուր հաշվառված քանակը,թվաքանակ,166
2024,Երկրում պարենի և գյուղատնտեսության համար բույսերի գենետիկական ռեսուրսների փոխանցման վերաբերյալ ստանդարտ նյութերի փոխանցման պայմանագրերի (SMTA) ընդհանուր հաշվառված քանակը,թվաքանակ,166
2021,Նագոյայի արձանագրությանը միացած երկրներ,"այո=1, ոչ=0",0
2022,Նագոյայի արձանագրությանը միացած երկրներ,"այո=1, ոչ=0",0
2023,Նագոյայի արձանագրությանը միացած երկրներ,"այո=1, ոչ=0",0
2024,Նագոյայի արձանագրությանը միացած երկրներ,"այո=1, ոչ=0",0
2021,"Երկրներ, որոնք իրենց օրենսդրական, վարչական և քաղաքական շրջանակներն կամ միջոցառումները ներկայացրել են «Գենետիկ ռեսուրսների մատչելիության ու դրանց օգտագործումից ստացվող օգուտների արդարացի բաշխման» էլեկտրոնային հարթակում","այո=1, ոչ=0",0
2022,"Երկրներ, որոնք իրենց օրենսդրական, վարչական և քաղաքական շրջանակներն կամ միջոցառումները ներկայացրել են «Գենետիկ ռեսուրսների մատչելիության ու դրանց օգտագործումից ստացվող օգուտների արդարացի բաշխման» էլեկտրոնային հարթակում","այո=1, ոչ=0",0
2023,"Երկրներ, որոնք իրենց օրենսդրական, վարչական և քաղաքական շրջանակներն կամ միջոցառումները ներկայացրել են «Գենետիկ ռեսուրսների մատչելիության ու դրանց օգտագործումից ստացվող օգուտների արդարացի բաշխման» էլեկտրոնային հարթակում","այո=1, ոչ=0",0
2024,"Երկրներ, որոնք իրենց օրենսդրական, վարչական և քաղաքական շրջանակներն կամ միջոցառումները ներկայացրել են «Գենետիկ ռեսուրսների մատչելիության ու դրանց օգտագործումից ստացվող օգուտների արդարացի բաշխման» էլեկտրոնային հարթակում","այո=1, ոչ=0",0
2016,"Երկրներ, որոնք իրենց օրենսդրական, վարչական և քաղաքական շրջանակներն կամ միջոցառումները ներկայացրել են պարենի և գյուղատնտեսության համար բույսերի գենետիկական ռեսուրսների միջազգային պայմանագրի համապատասխանության առցանց հաշվետվության համակարգի միջոցով","այո=1, ոչ=0",0
2017,"Երկրներ, որոնք իրենց օրենսդրական, վարչական և քաղաքական շրջանակներն կամ միջոցառումները ներկայացրել են պարենի և գյուղատնտեսության համար բույսերի գենետիկական ռեսուրսների միջազգային պայմանագրի համապատասխանության առցանց հաշվետվության համակարգի միջոցով","այո=1, ոչ=0",0
2018,"Երկրներ, որոնք իրենց օրենսդրական, վարչական և քաղաքական շրջանակներն կամ միջոցառումները ներկայացրել են պարենի և գյուղատնտեսության համար բույսերի գենետիկական ռեսուրսների միջազգային պայմանագրի համապատասխանության առցանց հաշվետվության համակարգի միջոցով","այո=1, ոչ=0",0
2019,"Երկրներ, որոնք իրենց օրենսդրական, վարչական և քաղաքական շրջանակներն կամ միջոցառումները ներկայացրել են պարենի և գյուղատնտեսության համար բույսերի գենետիկական ռեսուրսների միջազգային պայմանագրի համապատասխանության առցանց հաշվետվության համակարգի միջոցով","այո=1, ոչ=0",0
2020,"Երկրներ, որոնք իրենց օրենսդրական, վարչական և քաղաքական շրջանակներն կամ միջոցառումները ներկայացրել են պարենի և գյուղատնտեսության համար բույսերի գենետիկական ռեսուրսների միջազգային պայմանագրի համապատասխանության առցանց հաշվետվության համակարգի միջոցով","այո=1, ոչ=0",0
2021,"Երկրներ, որոնք իրենց օրենսդրական, վարչական և քաղաքական շրջանակներն կամ միջոցառումները ներկայացրել են պարենի և գյուղատնտեսության համար բույսերի գենետիկական ռեսուրսների միջազգային պայմանագրի համապատասխանության առցանց հաշվետվության համակարգի միջոցով","այո=1, ոչ=0",1
2022,"Երկրներ, որոնք իրենց օրենսդրական, վարչական և քաղաքական շրջանակներն կամ միջոցառումները ներկայացրել են պարենի և գյուղատնտեսության համար բույսերի գենետիկական ռեսուրսների միջազգային պայմանագրի համապատասխանության առցանց հաշվետվության համակարգի միջոցով","այո=1, ոչ=0",1
2023,"Երկրներ, որոնք իրենց օրենսդրական, վարչական և քաղաքական շրջանակներն կամ միջոցառումները ներկայացրել են պարենի և գյուղատնտեսության համար բույսերի գենետիկական ռեսուրսների միջազգային պայմանագրի համապատասխանության առցանց հաշվետվության համակարգի միջոցով","այո=1, ոչ=0",1
2024,"Երկրներ, որոնք իրենց օրենսդրական, վարչական և քաղաքական շրջանակներն կամ միջոցառումները ներկայացրել են պարենի և գյուղատնտեսության համար բույսերի գենետիկական ռեսուրսների միջազգային պայմանագրի համապատասխանության առցանց հաշվետվության համակարգի միջոցով","այո=1, ոչ=0",1
2015,"Երկրներ, որոնք հանդիսանում են պարենի և գյուղատնտեսության համար բույսերի գենետիկական ռեսուրսների միջազգային պայմանագրի կողմեր","այո=1, ոչ=0",1
2016,"Երկրներ, որոնք հանդիսանում են պարենի և գյուղատնտեսության համար բույսերի գենետիկական ռեսուրսների միջազգային պայմանագրի կողմեր","այո=1, ոչ=0",1
2017,"Երկրներ, որոնք հանդիսանում են պարենի և գյուղատնտեսության համար բույսերի գենետիկական ռեսուրսների միջազգային պայմանագրի կողմեր","այո=1, ոչ=0",1
2018,"Երկրներ, որոնք հանդիսանում են պարենի և գյուղատնտեսության համար բույսերի գենետիկական ռեսուրսների միջազգային պայմանագրի կողմեր","այո=1, ոչ=0",1
2019,"Երկրներ, որոնք հանդիսանում են պարենի և գյուղատնտեսության համար բույսերի գենետիկական ռեսուրսների միջազգային պայմանագրի կողմեր","այո=1, ոչ=0",1
2020,"Երկրներ, որոնք հանդիսանում են պարենի և գյուղատնտեսության համար բույսերի գենետիկական ռեսուրսների միջազգային պայմանագրի կողմեր","այո=1, ոչ=0",1
2021,"Երկրներ, որոնք հանդիսանում են պարենի և գյուղատնտեսության համար բույսերի գենետիկական ռեսուրսների միջազգային պայմանագրի կողմեր","այո=1, ոչ=0",1
2022,"Երկրներ, որոնք հանդիսանում են պարենի և գյուղատնտեսության համար բույսերի գենետիկական ռեսուրսների միջազգային պայմանագրի կողմեր","այո=1, ոչ=0",1
2023,"Երկրներ, որոնք հանդիսանում են պարենի և գյուղատնտեսության համար բույսերի գենետիկական ռեսուրսների միջազգային պայմանագրի կողմեր","այո=1, ոչ=0",1
2024,"Երկրներ, որոնք հանդիսանում են պարենի և գյուղատնտեսության համար բույսերի գենետիկական ռեսուրսների միջազգային պայմանագրի կողմեր","այո=1, ոչ=0",1
