Year,Units,Սեռ,Կատեգորիա,Տարիք,Value
2015,%,,,,15.53
2016,%,,,,15.69
2017,%,,,,15.41
2018,%,,,,15.62
2019,%,,,,15.76
2020,%,,,,15.76
2015,%,տղամարդ,,,12.73
2016,%,տղամարդ,,,12.93
2017,%,տղամարդ,,,12.74
2018,%,տղամարդ,,,12.97
2019,%,տղամարդ,,,13.14
2020,%,տղամարդ,,,13.15
2015,%,կին,,,18.09
2016,%,կին,,,18.19
2017,%,կին,,,17.82
2018,%,կին,,,17.99
2019,%,կին,,,18.11
2020,%,կին,,,18.09
2015,%,,տարիքային,,10.19
2016,%,,տարիքային,,10.33
2017,%,,տարիքային,,10.52
2018,%,,տարիքային,,10.88
2019,%,,տարիքային,,11.15
2020,%,,տարիքային,,11.29
2015,%,տղամարդ,տարիքային,,7.93
2016,%,տղամարդ,տարիքային,,8.09
2017,%,տղամարդ,տարիքային,,8.3
2018,%,տղամարդ,տարիքային,,8.65
2019,%,տղամարդ,տարիքային,,8.93
2020,%,տղամարդ,տարիքային,,9.08
2015,%,կին,տարիքային,,12.25
2016,%,կին,տարիքային,,12.36
2017,%,կին,տարիքային,,12.53
2018,%,կին,տարիքային,,12.88
2019,%,կին,տարիքային,,13.14
2020,%,կին,տարիքային,,13.18
2015,%,,արտոնյալ պայմաններով,,0.09
2016,%,,արտոնյալ պայմաններով,,0.08
2017,%,,արտոնյալ պայմաններով,,0.08
2018,%,,արտոնյալ պայմաններով,,0.07
2019,%,,արտոնյալ պայմաններով,,0.06
2020,%,,արտոնյալ պայմաններով,,0.05
2015,%,տղամարդ,արտոնյալ պայմաններով,,0.14
2016,%,տղամարդ,արտոնյալ պայմաններով,,0.13
2017,%,տղամարդ,արտոնյալ պայմաններով,,0.12
2018,%,տղամարդ,արտոնյալ պայմաններով,,0.11
2019,%,տղամարդ,արտոնյալ պայմաններով,,0.09
2020,%,տղամարդ,արտոնյալ պայմաններով,,0.08
2015,%,կին,արտոնյալ պայմաններով,,0.05
2016,%,կին,արտոնյալ պայմաններով,,0.05
2017,%,կին,արտոնյալ պայմաններով,,0.04
2018,%,կին,արտոնյալ պայմաններով,,0.03
2019,%,կին,արտոնյալ պայմաններով,,0.03
2020,%,կին,արտոնյալ պայմաններով,,0.03
2015,%,,երկարամյա ծառայության,,0.04
2016,%,,երկարամյա ծառայության,,0.02
2017,%,,երկարամյա ծառայության,,0.02
2018,%,,երկարամյա ծառայության,,0.02
2019,%,,երկարամյա ծառայության,,0.02
2020,%,,երկարամյա ծառայության,,0.01
2015,%,տղամարդ,երկարամյա ծառայության,,0.04
2016,%,տղամարդ,երկարամյա ծառայության,,0.03
2017,%,տղամարդ,երկարամյա ծառայության,,0.03
2018,%,տղամարդ,երկարամյա ծառայության,,0.02
2019,%,տղամարդ,երկարամյա ծառայության,,0.02
2020,%,տղամարդ,երկարամյա ծառայության,,0.02
2015,%,կին,երկարամյա ծառայության,,0.04
2016,%,կին,երկարամյա ծառայության,,0.02
2017,%,կին,երկարամյա ծառայության,,0.01
2018,%,կին,երկարամյա ծառայության,,0.01
2019,%,կին,երկարամյա ծառայության,,0.01
2020,%,կին,երկարամյա ծառայության,,0.01
2015,%,,մասնակի,,0.5
2016,%,,մասնակի,,0.49
2017,%,,մասնակի,,0.47
2018,%,,մասնակի,,0.44
2019,%,,մասնակի,,0.41
2020,%,,մասնակի,,0.37
2015,%,տղամարդ,մասնակի,,0.11
2016,%,տղամարդ,մասնակի,,0.11
2017,%,տղամարդ,մասնակի,,0.1
2018,%,տղամարդ,մասնակի,,0.09
2019,%,տղամարդ,մասնակի,,0.09
2020,%,տղամարդ,մասնակի,,0.07
2015,%,կին,մասնակի,,0.85
2016,%,կին,մասնակի,,0.83
2017,%,կին,մասնակի,,0.8
2018,%,կին,մասնակի,,0.76
2019,%,կին,մասնակի,,0.7
2020,%,կին,մասնակի,,0.64
2015,%,,հաշմանդամության,,4.28
2016,%,,հաշմանդամության,,4.35
