Year,Units,Կատեգորիա,Value
2015,մլն. դրամ,նյութական սպառումը,2773103.4
2016,մլն. դրամ,նյութական սպառումը,2732252.3
2017,մլն. դրամ,նյութական սպառումը,3120625.2
2018,մլն. դրամ,նյութական սպառումը,3378262.0
2019,մլն. դրամ,նյութական սպառումը,3844807.1
2020,մլն. դրամ,նյութական սպառումը,3276763.0
2015,դրամ,մեկ շնչի հաշվով ներքին նյութական սպառումը,922952.6
2016,դրամ,մեկ շնչի հաշվով ներքին նյութական սպառումը,913094.4
2017,դրամ,մեկ շնչի հաշվով ներքին նյութական սպառումը,1047400.6
2018,դրամ,մեկ շնչի հաշվով ներքին նյութական սպառումը,1137845.1
2019,դրամ,մեկ շնչի հաշվով ներքին նյութական սպառումը,1297825.2
2020,դրամ,մեկ շնչի հաշվով ներքին նյութական սպառումը,1106453.8
2015,%,ՀՆԱ-ի հաշվով ներքին նյութական սպառումը,55.0
2016,%,ՀՆԱ-ի հաշվով ներքին նյութական սպառումը,53.9
2017,%,ՀՆԱ-ի հաշվով ներքին նյութական սպառումը,56.1
2018,%,ՀՆԱ-ի հաշվով ներքին նյութական սպառումը,56.1
2019,%,ՀՆԱ-ի հաշվով ներքին նյութական սպառումը,58.8
2020,%,ՀՆԱ-ի հաշվով ներքին նյութական սպառումը,53.0
