Year,Indicator,Units,Սեռ,Կատեգորիա,Տարիք,Value
2015,The share of pensioners to the total number of population at the end of the year,%,,,,15.53
2016,The share of pensioners to the total number of population at the end of the year,%,,,,15.69
2017,The share of pensioners to the total number of population at the end of the year,%,,,,15.41
2018,The share of pensioners to the total number of population at the end of the year,%,,,,15.62
2019,The share of pensioners to the total number of population at the end of the year,%,,,,15.76
2020,The share of pensioners to the total number of population at the end of the year,%,,,,15.76
2015,The share of pensioners to the total number of population at the end of the year,%,տղամարդ,,,12.73
2016,The share of pensioners to the total number of population at the end of the year,%,տղամարդ,,,12.93
2017,The share of pensioners to the total number of population at the end of the year,%,տղամարդ,,,12.74
2018,The share of pensioners to the total number of population at the end of the year,%,տղամարդ,,,12.97
2019,The share of pensioners to the total number of population at the end of the year,%,տղամարդ,,,13.14
2020,The share of pensioners to the total number of population at the end of the year,%,տղամարդ,,,13.15
2015,The share of pensioners to the total number of population at the end of the year,%,կին,,,18.09
2016,The share of pensioners to the total number of population at the end of the year,%,կին,,,18.19
2017,The share of pensioners to the total number of population at the end of the year,%,կին,,,17.82
2018,The share of pensioners to the total number of population at the end of the year,%,կին,,,17.99
2019,The share of pensioners to the total number of population at the end of the year,%,կին,,,18.11
2020,The share of pensioners to the total number of population at the end of the year,%,կին,,,18.09
2015,The share of pensioners to the total number of population at the end of the year,%,,տարիքային,,10.19
2016,The share of pensioners to the total number of population at the end of the year,%,,տարիքային,,10.33
2017,The share of pensioners to the total number of population at the end of the year,%,,տարիքային,,10.52
2018,The share of pensioners to the total number of population at the end of the year,%,,տարիքային,,10.88
2019,The share of pensioners to the total number of population at the end of the year,%,,տարիքային,,11.15
2020,The share of pensioners to the total number of population at the end of the year,%,,տարիքային,,11.29
2015,The share of pensioners to the total number of population at the end of the year,%,տղամարդ,տարիքային,,7.93
2016,The share of pensioners to the total number of population at the end of the year,%,տղամարդ,տարիքային,,8.09
2017,The share of pensioners to the total number of population at the end of the year,%,տղամարդ,տարիքային,,8.3
2018,The share of pensioners to the total number of population at the end of the year,%,տղամարդ,տարիքային,,8.65
2019,The share of pensioners to the total number of population at the end of the year,%,տղամարդ,տարիքային,,8.93
2020,The share of pensioners to the total number of population at the end of the year,%,տղամարդ,տարիքային,,9.08
2015,The share of pensioners to the total number of population at the end of the year,%,կին,տարիքային,,12.25
2016,The share of pensioners to the total number of population at the end of the year,%,կին,տարիքային,,12.36
2017,The share of pensioners to the total number of population at the end of the year,%,կին,տարիքային,,12.53
2018,The share of pensioners to the total number of population at the end of the year,%,կին,տարիքային,,12.88
2019,The share of pensioners to the total number of population at the end of the year,%,կին,տարիքային,,13.14
2020,The share of pensioners to the total number of population at the end of the year,%,կին,տարիքային,,13.18
2015,The share of pensioners to the total number of population at the end of the year,%,,արտոնյալ պայմաններով,,0.09
2016,The share of pensioners to the total number of population at the end of the year,%,,արտոնյալ պայմաններով,,0.08
2017,The share of pensioners to the total number of population at the end of the year,%,,արտոնյալ պայմաններով,,0.08
2018,The share of pensioners to the total number of population at the end of the year,%,,արտոնյալ պայմաններով,,0.07
2019,The share of pensioners to the total number of population at the end of the year,%,,արտոնյալ պայմաններով,,0.06
2020,The share of pensioners to the total number of population at the end of the year,%,,արտոնյալ պայմաններով,,0.05
2015,The share of pensioners to the total number of population at the end of the year,%,տղամարդ,արտոնյալ պայմաններով,,0.14
2016,The share of pensioners to the total number of population at the end of the year,%,տղամարդ,արտոնյալ պայմաններով,,0.13
2017,The share of pensioners to the total number of population at the end of the year,%,տղամարդ,արտոնյալ պայմաններով,,0.12
2018,The share of pensioners to the total number of population at the end of the year,%,տղամարդ,արտոնյալ պայմաններով,,0.11
2019,The share of pensioners to the total number of population at the end of the year,%,տղամարդ,արտոնյալ պայմաններով,,0.09
2020,The share of pensioners to the total number of population at the end of the year,%,տղամարդ,արտոնյալ պայմաններով,,0.08
2015,The share of pensioners to the total number of population at the end of the year,%,կին,արտոնյալ պայմաններով,,0.05
2016,The share of pensioners to the total number of population at the end of the year,%,կին,արտոնյալ պայմաններով,,0.05
2017,The share of pensioners to the total number of population at the end of the year,%,կին,արտոնյալ պայմաններով,,0.04
2018,The share of pensioners to the total number of population at the end of the year,%,կին,արտոնյալ պայմաններով,,0.03
2019,The share of pensioners to the total number of population at the end of the year,%,կին,արտոնյալ պայմաններով,,0.03
2020,The share of pensioners to the total number of population at the end of the year,%,կին,արտոնյալ պայմաններով,,0.03
2015,The share of pensioners to the total number of population at the end of the year,%,,երկարամյա ծառայության,,0.04
2016,The share of pensioners to the total number of population at the end of the year,%,,երկարամյա ծառայության,,0.02
2017,The share of pensioners to the total number of population at the end of the year,%,,երկարամյա ծառայության,,0.02
2018,The share of pensioners to the total number of population at the end of the year,%,,երկարամյա ծառայության,,0.02
2019,The share of pensioners to the total number of population at the end of the year,%,,երկարամյա ծառայության,,0.02
2020,The share of pensioners to the total number of population at the end of the year,%,,երկարամյա ծառայության,,0.01
2015,The share of pensioners to the total number of population at the end of the year,%,տղամարդ,երկարամյա ծառայության,,0.04
2016,The share of pensioners to the total number of population at the end of the year,%,տղամարդ,երկարամյա ծառայության,,0.03
2017,The share of pensioners to the total number of population at the end of the year,%,տղամարդ,երկարամյա ծառայության,,0.03
2018,The share of pensioners to the total number of population at the end of the year,%,տղամարդ,երկարամյա ծառայության,,0.02
2019,The share of pensioners to the total number of population at the end of the year,%,տղամարդ,երկարամյա ծառայության,,0.02
2020,The share of pensioners to the total number of population at the end of the year,%,տղամարդ,երկարամյա ծառայության,,0.02
2015,The share of pensioners to the total number of population at the end of the year,%,կին,երկարամյա ծառայության,,0.04
2016,The share of pensioners to the total number of population at the end of the year,%,կին,երկարամյա ծառայության,,0.02
2017,The share of pensioners to the total number of population at the end of the year,%,կին,երկարամյա ծառայության,,0.01
2018,The share of pensioners to the total number of population at the end of the year,%,կին,երկարամյա ծառայության,,0.01
2019,The share of pensioners to the total number of population at the end of the year,%,կին,երկարամյա ծառայության,,0.01
2020,The share of pensioners to the total number of population at the end of the year,%,կին,երկարամյա ծառայության,,0.01
2015,The share of pensioners to the total number of population at the end of the year,%,,մասնակի,,0.5
2016,The share of pensioners to the total number of population at the end of the year,%,,մասնակի,,0.49
2017,The share of pensioners to the total number of population at the end of the year,%,,մասնակի,,0.47
2018,The share of pensioners to the total number of population at the end of the year,%,,մասնակի,,0.44
2019,The share of pensioners to the total number of population at the end of the year,%,,մասնակի,,0.41
2020,The share of pensioners to the total number of population at the end of the year,%,,մասնակի,,0.37
2015,The share of pensioners to the total number of population at the end of the year,%,տղամարդ,մասնակի,,0.11
2016,The share of pensioners to the total number of population at the end of the year,%,տղամարդ,մասնակի,,0.11
2017,The share of pensioners to the total number of population at the end of the year,%,տղամարդ,մասնակի,,0.1
2018,The share of pensioners to the total number of population at the end of the year,%,տղամարդ,մասնակի,,0.09
2019,The share of pensioners to the total number of population at the end of the year,%,տղամարդ,մասնակի,,0.09
2020,The share of pensioners to the total number of population at the end of the year,%,տղամարդ,մասնակի,,0.07
2015,The share of pensioners to the total number of population at the end of the year,%,կին,մասնակի,,0.85
2016,The share of pensioners to the total number of population at the end of the year,%,կին,մասնակի,,0.83
2017,The share of pensioners to the total number of population at the end of the year,%,կին,մասնակի,,0.8
2018,The share of pensioners to the total number of population at the end of the year,%,կին,մասնակի,,0.76
2019,The share of pensioners to the total number of population at the end of the year,%,կին,մասնակի,,0.7
2020,The share of pensioners to the total number of population at the end of the year,%,կին,մասնակի,,0.64
2015,The share of pensioners to the total number of population at the end of the year,%,,հաշմանդամության,,4.28
2016,The share of pensioners to the total number of population at the end of the year,%,,հաշմանդամության,,4.35
2017,The share of pensioners to the total number of population at the end of the year,%,,հաշմանդամության,,3.93
2018,The share of pensioners to the total number of population at the end of the year,%,,հաշմանդամության,,3.84
2019,The share of pensioners to the total number of population at the end of the year,%,,հաշմանդամության,,3.78
2020,The share of pensioners to the total number of population at the end of the year,%,,հաշմանդամության,,3.7
2015,The share of pensioners to the total number of population at the end of the year,%,տղամարդ,հաշմանդամության,,4.13
2016,The share of pensioners to the total number of population at the end of the year,%,տղամարդ,հաշմանդամության,,4.19
2017,The share of pensioners to the total number of population at the end of the year,%,տղամարդ,հաշմանդամության,,3.82
2018,The share of pensioners to the total number of population at the end of the year,%,տղամարդ,հաշմանդամության,,3.74
2019,The share of pensioners to the total number of population at the end of the year,%,տղամարդ,հաշմանդամության,,3.68
2020,The share of pensioners to the total number of population at the end of the year,%,տղամարդ,հաշմանդամության,,3.59
2015,The share of pensioners to the total number of population at the end of the year,%,կին,հաշմանդամության,,4.41
2016,The share of pensioners to the total number of population at the end of the year,%,կին,հաշմանդամության,,4.48
2017,The share of pensioners to the total number of population at the end of the year,%,կին,հաշմանդամության,,4.02
2018,The share of pensioners to the total number of population at the end of the year,%,կին,հաշմանդամության,,3.92
2019,The share of pensioners to the total number of population at the end of the year,%,կին,հաշմանդամության,,3.88
2020,The share of pensioners to the total number of population at the end of the year,%,կին,հաշմանդամության,,3.81
2015,The share of pensioners to the total number of population at the end of the year,%,,կերակրողին կորցնելու դեպքում,,0.36
2016,The share of pensioners to the total number of population at the end of the year,%,,կերակրողին կորցնելու դեպքում,,0.34
2017,The share of pensioners to the total number of population at the end of the year,%,,կերակրողին կորցնելու դեպքում,,0.31
2018,The share of pensioners to the total number of population at the end of the year,%,,կերակրողին կորցնելու դեպքում,,0.29
2019,The share of pensioners to the total number of population at the end of the year,%,,կերակրողին կորցնելու դեպքում,,0.26
2020,The share of pensioners to the total number of population at the end of the year,%,,կերակրողին կորցնելու դեպքում,,0.25
2015,The share of pensioners to the total number of population at the end of the year,%,տղամարդ,կերակրողին կորցնելու դեպքում,,0.21
2016,The share of pensioners to the total number of population at the end of the year,%,տղամարդ,կերակրողին կորցնելու դեպքում,,0.21
2017,The share of pensioners to the total number of population at the end of the year,%,տղամարդ,կերակրողին կորցնելու դեպքում,,0.19
2018,The share of pensioners to the total number of population at the end of the year,%,տղամարդ,կերակրողին կորցնելու դեպքում,,0.18
2019,The share of pensioners to the total number of population at the end of the year,%,տղամարդ,կերակրողին կորցնելու դեպքում,,0.16
2020,The share of pensioners to the total number of population at the end of the year,%,տղամարդ,կերակրողին կորցնելու դեպքում,,0.15
2015,The share of pensioners to the total number of population at the end of the year,%,կին,կերակրողին կորցնելու դեպքում,,0.49
2016,The share of pensioners to the total number of population at the end of the year,%,կին,կերակրողին կորցնելու դեպքում,,0.45
2017,The share of pensioners to the total number of population at the end of the year,%,կին,կերակրողին կորցնելու դեպքում,,0.42
2018,The share of pensioners to the total number of population at the end of the year,%,կին,կերակրողին կորցնելու դեպքում,,0.39
2019,The share of pensioners to the total number of population at the end of the year,%,կին,կերակրողին կորցնելու դեպքում,,0.35
2020,The share of pensioners to the total number of population at the end of the year,%,կին,կերակրողին կորցնելու դեպքում,,0.33
2016,The share of pensioners to the total number of population at the end of the year,%,,այլ օրենքներով սահմանված,,0.01
2017,The share of pensioners to the total number of population at the end of the year,%,,այլ օրենքներով սահմանված,,0.02
2018,The share of pensioners to the total number of population at the end of the year,%,,այլ օրենքներով սահմանված,,0.02
2019,The share of pensioners to the total number of population at the end of the year,%,,այլ օրենքներով սահմանված,,0.02
2020,The share of pensioners to the total number of population at the end of the year,%,,այլ օրենքներով սահմանված,,0.02
