Year,Units,Կատեգորիա,Value
2019,%,Ազգային պարկերի (կատեգորիա II) ընդհանուր մակերեսը %-ով երկրի տարածքի նկատմամբ,8.0
2019,միավոր,Պետական արգելավայրերի (կատեգորիա IV) ընդհանուր քանակը,27.0
2019,%,Պետական արգելավայրերի (կատեգորիա IV) ընդհանուր մակերեսը %-ով երկրի տարածքի նկատմամբ,4.0
2019,միավոր,Բնության հուշարձանների (կատեգորիա III) ընդհանուր քանակը,232.0
2020,%,Հատուկ պահպանվող տարածքների ընդհանուր մակերեսը %-ով երկրի տարածքի նկատմամբ,13.0
2020,միավոր,Պետական արգելոցների (կատեգորիա Ib) ընդհանուր քանակը,3.0
2020,%,Պետական արգելոցների (կատեգորիա Ib) ընդհանուր մակերեսը %-ով երկրի տարածքի նկատմամբ,1.0
2020,միավոր,Ազգային պարկերի (կատեգորիա II) ընդհանուր քանակը,4.0
2020,%,Ազգային պարկերի (կատեգորիա II) ընդհանուր մակերեսը %-ով երկրի տարածքի նկատմամբ,8.0
2020,միավոր,Պետական արգելավայրերի (կատեգորիա IV) ընդհանուր քանակը,27.0
2020,%,Պետական արգելավայրերի (կատեգորիա IV) ընդհանուր մակերեսը %-ով երկրի տարածքի նկատմամբ,4.0
2020,միավոր,Բնության հուշարձանների (կատեգորիա III) ընդհանուր քանակը,232.0
2021,%,Հատուկ պահպանվող տարածքների ընդհանուր մակերեսը %-ով երկրի տարածքի նկատմամբ,13.0
2021,միավոր,Պետական արգելոցների (կատեգորիա Ib) ընդհանուր քանակը,3.0
2021,%,Պետական արգելոցների (կատեգորիա Ib) ընդհանուր մակերեսը %-ով երկրի տարածքի նկատմամբ,1.0
2021,միավոր,Ազգային պարկերի (կատեգորիա II) ընդհանուր քանակը,4.0
2021,%,Ազգային պարկերի (կատեգորիա II) ընդհանուր մակերեսը %-ով երկրի տարածքի նկատմամբ,8.0
2021,միավոր,Պետական արգելավայրերի (կատեգորիա IV) ընդհանուր քանակը,27.0
2021,%,Պետական արգելավայրերի (կատեգորիա IV) ընդհանուր մակերեսը %-ով երկրի տարածքի նկատմամբ,4.0
2021,միավոր,Բնության հուշարձանների (կատեգորիա III) ընդհանուր քանակը,232.0
2022,%,Հատուկ պահպանվող տարածքների ընդհանուր մակերեսը %-ով երկրի տարածքի նկատմամբ,13.0
2022,միավոր,Պետական արգելոցների (կատեգորիա Ib) ընդհանուր քանակը,3.0
2022,%,Պետական արգելոցների (կատեգորիա Ib) ընդհանուր մակերեսը %-ով երկրի տարածքի նկատմամբ,1.0
2022,միավոր,Ազգային պարկերի (կատեգորիա II) ընդհանուր քանակը,4.0
2022,%,Ազգային պարկերի (կատեգորիա II) ընդհանուր մակերեսը %-ով երկրի տարածքի նկատմամբ,8.0
2022,միավոր,Պետական արգելավայրերի (կատեգորիա IV) ընդհանուր քանակը,27.0
2022,%,Պետական արգելավայրերի (կատեգորիա IV) ընդհանուր մակերեսը %-ով երկրի տարածքի նկատմամբ,4.0
2022,միավոր,Բնության հուշարձանների (կատեգորիա III) ընդհանուր քանակը,233.0
2023,%,Հատուկ պահպանվող տարածքների ընդհանուր մակերեսը %-ով երկրի տարածքի նկատմամբ,13.0
2023,միավոր,Պետական արգելոցների (կատեգորիա Ib) ընդհանուր քանակը,3.0
2023,%,Պետական արգելոցների (կատեգորիա Ib) ընդհանուր մակերեսը %-ով երկրի տարածքի նկատմամբ,1.0
2023,միավոր,Ազգային պարկերի (կատեգորիա II) ընդհանուր քանակը,4.0
2023,%,Ազգային պարկերի (կատեգորիա II) ընդհանուր մակերեսը %-ով երկրի տարածքի նկատմամբ,8.0
2023,միավոր,Պետական արգելավայրերի (կատեգորիա IV) ընդհանուր քանակը,27.0
2023,%,Պետական արգելավայրերի (կատեգորիա IV) ընդհանուր մակերեսը %-ով երկրի տարածքի նկատմամբ,4.0
2023,միավոր,Բնության հուշարձանների (կատեգորիա III) ընդհանուր քանակը,233.0
2024,%,Հատուկ պահպանվող տարածքների ընդհանուր մակերեսը %-ով երկրի տարածքի նկատմամբ,12.9
2024,միավոր,Պետական արգելոցների (կատեգորիա Ib) ընդհանուր քանակը,3.0
2024,%,Պետական արգելոցների (կատեգորիա Ib) ընդհանուր մակերեսը %-ով երկրի տարածքի նկատմամբ,1.2
2024,միավոր,Ազգային պարկերի (կատեգորիա II) ընդհանուր քանակը,4.0
2024,%,Ազգային պարկերի (կատեգորիա II) ընդհանուր մակերեսը %-ով երկրի տարածքի նկատմամբ,7.8
2024,միավոր,Պետական արգելավայրերի (կատեգորիա IV) ընդհանուր քանակը,24.0
2024,%,Պետական արգելավայրերի (կատեգորիա IV) ընդհանուր մակերեսը %-ով երկրի տարածքի նկատմամբ,3.9
2024,միավոր,Բնության հուշարձանների (կատեգորիա III) ընդհանուր քանակը,233.0
