Year,Units,Մասնաճյուղեր/Բանկոմատներ,Value
2015,"100,000 մեծահասակի համար",Բանկոմատներ,58.8
2016,"100,000 մեծահասակի համար",Բանկոմատներ,58.6
2017,"100,000 մեծահասակի համար",Բանկոմատներ,61.1
2018,"100,000 մեծահասակի համար",Բանկոմատներ,64.9
2019,"100,000 մեծահասակի համար",Բանկոմատներ,67.9
2020,"100,000 մեծահասակի համար",Բանկոմատներ,67.8
2021,"100,000 մեծահասակի համար",Բանկոմատներ,70.5
2022,"100,000 մեծահասակի համար",Բանկոմատներ,69.6
2015,"100,000 մեծահասակի համար",Մասնաճյուղեր,21.6
2016,"100,000 մեծահասակի համար",Մասնաճյուղեր,21.9
2017,"100,000 մեծահասակի համար",Մասնաճյուղեր,22.1
2018,"100,000 մեծահասակի համար",Մասնաճյուղեր,22.7
2019,"100,000 մեծահասակի համար",Մասնաճյուղեր,23.3
2020,"100,000 մեծահասակի համար",Մասնաճյուղեր,23.6
2021,"100,000 մեծահասակի համար",Մասնաճյուղեր,23.4
2022,"100,000 մեծահասակի համար",Մասնաճյուղեր,23.4
