Year,Իրավունքի տեսակ,Սեռ,Units,Value
2015,,,դեպք,94167
2016,,,դեպք,94748
2017,,,դեպք,103978
2018,,,դեպք,125524
2019,,,դեպք,158793
2020,,,դեպք,159189
2021,,,դեպք,200701
2022,,,դեպք,246958
2023,,,դեպք,233930
2024,,,դեպք,262616
2015,,տղամարդ,դեպք,70428
2016,,տղամարդ,դեպք,69362
2017,,տղամարդ,դեպք,75751
2018,,տղամարդ,դեպք,90719
2019,,տղամարդ,դեպք,115842
2020,,տղամարդ,դեպք,116904
2021,,տղամարդ,դեպք,141646
2022,,տղամարդ,դեպք,177406
2023,,տղամարդ,դեպք,158372
2024,,տղամարդ,դեպք,170599
2015,,կին,դեպք,23738
2016,,կին,դեպք,25385
2017,,կին,դեպք,28226
2018,,կին,դեպք,34805
2019,,կին,դեպք,42951
2020,,կին,դեպք,42285
2021,,կին,դեպք,59055
2022,,կին,դեպք,69548
2023,,կին,դեպք,69548
2024,,կին,դեպք,91991
2015,,չեզոք,դեպք,1
2016,,չեզոք,դեպք,1
2017,,չեզոք,դեպք,1
2018,,չեզոք,դեպք,0
2019,,չեզոք,դեպք,0
2020,,չեզոք,դեպք,0
2021,,չեզոք,դեպք,0
2022,,չեզոք,դեպք,2
2023,,չեզոք,դեպք,0
2024,,չեզոք,դեպք,26
2015,Սեփականություն,տղամարդ,դեպք,36048
2015,Համատեղ սեփականություն,տղամարդ,դեպք,11714
2015,Ընդհանուր բաժնային սեփականություն,տղամարդ,դեպք,18407
2015,Վարձակալություն,տղամարդ,դեպք,2065
2015,Ենթավարձակալություն,տղամարդ,դեպք,61
2015,Գրավ,տղամարդ,դեպք,283
2015,Հողամասի կառուցապատման իրավունք,տղամարդ,դեպք,583
2015,Անհատույց օգտագործում,տղամարդ,դեպք,59
2015,Բնակելի տարածության օգտագործում,տղամարդ,դեպք,5
2015,Սերվիտուտ,տղամարդ,դեպք,5
2015,Right of constructor or unauthorised buidlings,տղամարդ,դեպք,1091
2015,Օգտագործում,տղամարդ,դեպք,14
2015,Կառուցվող անշարժ գույք գնելու իրավունք,տղամարդ,դեպք,93
2016,Սեփականություն,տղամարդ,դեպք,34508
2016,Համատեղ սեփականություն,տղամարդ,դեպք,11817
2016,Ընդհանուր բաժնային սեփականություն,տղամարդ,դեպք,18308
2016,Վարձակալություն,տղամարդ,դեպք,2333
2016,Ենթավարձակալություն,տղամարդ,դեպք,41
2016,Գրավ,տղամարդ,դեպք,262
2016,Հողամասի կառուցապատման իրավունք,տղամարդ,դեպք,570
2016,Անհատույց օգտագործում,տղամարդ,դեպք,79
2016,Սերվիտուտ,տղամարդ,դեպք,5
2016,Right of constructor or unauthorised buidlings,տղամարդ,դեպք,1037
2016,Կառուցվող անշարժ գույք գնելու իրավունք,տղամարդ,դեպք,21
2016,Օգտագործում,տղամարդ,դեպք,380
2016,Բնակելի տարածության օգտագործում,տղամարդ,դեպք,1
2017,Սեփականություն,տղամարդ,դեպք,38934
2017,Համատեղ սեփականություն,տղամարդ,դեպք,11531
2017,Ընդհանուր բաժնային սեփականություն,տղամարդ,դեպք,19430
2017,Վարձակալություն,տղամարդ,դեպք,3211
2017,Ենթավարձակալություն,տղամարդ,դեպք,48
2017,Գրավ,տղամարդ,դեպք,247
2017,Հողամասի կառուցապատման իրավունք,տղամարդ,դեպք,598
2017,Անհատույց օգտագործում,տղամարդ,դեպք,66
2017,Սերվիտուտ,տղամարդ,դեպք,8
2017,Հավատարմագրային կառավարում,տղամարդ,դեպք,2
2017,Right of constructor or unauthorised buidlings,տղամարդ,դեպք,1133
2017,Օգտագործում,տղամարդ,դեպք,9
2017,Կառուցվող անշարժ գույք գնելու իրավունք,տղամարդ,դեպք,530
2017,Use of unauthorised,տղամարդ,դեպք,2
2017,Բնակելի տարածության օգտագործում,տղամարդ,դեպք,2
2018,Սեփականություն,տղամարդ,դեպք,46585
2018,Համատեղ սեփականություն,տղամարդ,դեպք,12801
2018,Ընդհանուր բաժնային սեփականություն,տղամարդ,դեպք,24446
2018,Վարձակալություն,տղամարդ,դեպք,2984
2018,Ենթավարձակալություն,տղամարդ,դեպք,58
2018,Գրավ,տղամարդ,դեպք,279
2018,Հողամասի կառուցապատման իրավունք,տղամարդ,դեպք,644
2018,Անհատույց օգտագործում,տղամարդ,դեպք,80
2018,Բնակելի տարածության օգտագործում,տղամարդ,դեպք,2
2018,Սերվիտուտ,տղամարդ,դեպք,8
2018,Հավատարմագրային կառավարում,տղամարդ,դեպք,1
2018,Right of constructor or unauthorised buidlings,տղամարդ,դեպք,1682
2018,Օգտագործում,տղամարդ,դեպք,10
2018,Կառուցվող անշարժ գույք գնելու իրավունք,տղամարդ,դեպք,1139
2019,Սեփականություն,տղամարդ,դեպք,57327
2019,Համատեղ սեփականություն,տղամարդ,դեպք,19255
2019,Ընդհանուր բաժնային սեփականություն,տղամարդ,դեպք,27812
2019,Վարձակալություն,տղամարդ,դեպք,5072
2019,Ենթավարձակալություն,տղամարդ,դեպք,54
2019,Գրավ,տղամարդ,դեպք,245
2019,Հողամասի կառուցապատման իրավունք,տղամարդ,դեպք,658
2019,Անհատույց օգտագործում,տղամարդ,դեպք,93
2019,Բնակելի տարածության օգտագործում,տղամարդ,դեպք,5
2019,Սերվիտուտ,տղամարդ,դեպք,33
2019,Right of constructor or unauthorised buidlings,տղամարդ,դեպք,1917
2019,Օգտագործում,տղամարդ,դեպք,17
2019,Կառուցվող անշարժ գույք գնելու իրավունք,տղամարդ,դեպք,3352
2019,Use of unauthorised,տղամարդ,դեպք,1
2019,Հավատարմագրային կառավարում,տղամարդ,դեպք,1
2020,Սեփականություն,տղամարդ,դեպք,55119
2020,Համատեղ սեփականություն,տղամարդ,դեպք,22596
2020,Ընդհանուր բաժնային սեփականություն,տղամարդ,դեպք,24985
2020,Վարձակալություն,տղամարդ,դեպք,5401
2020,Ենթավարձակալություն,տղամարդ,դեպք,45
2020,Գրավ,տղամարդ,դեպք,187
2020,Հողամասի կառուցապատման իրավունք,տղամարդ,դեպք,485
2020,Անհատույց օգտագործում,տղամարդ,դեպք,88
2020,Բնակելի տարածության օգտագործում,տղամարդ,դեպք,3
2020,Սերվիտուտ,տղամարդ,դեպք,26
2020,Right of constructor or unauthorised buidlings,տղամարդ,դեպք,1871
2020,Օգտագործում,տղամարդ,դեպք,32
2020,Կառուցվող անշարժ գույք գնելու իրավունք,տղամարդ,դեպք,6061
2020,Use of unauthorised,տղամարդ,դեպք,4
2020,Հավատարմագրային կառավարում,տղամարդ,դեպք,1
2021,Սեփականություն,տղամարդ,դեպք,67894
2021,Համատեղ սեփականություն,տղամարդ,դեպք,20941
2021,Ընդհանուր բաժնային սեփականություն,տղամարդ,դեպք,33969
2021,Վարձակալություն,տղամարդ,դեպք,6252
2021,Ենթավարձակալություն,տղամարդ,դեպք,48
2021,Գրավ,տղամարդ,դեպք,226
2021,Հողամասի կառուցապատման իրավունք,տղամարդ,դեպք,580
2021,Անհատույց օգտագործում,տղամարդ,դեպք,80
2021,Բնակելի տարածության օգտագործում,տղամարդ,դեպք,3
2021,Սերվիտուտ,տղամարդ,դեպք,26
2021,Right of constructor or unauthorised buidlings,տղամարդ,դեպք,1861
2021,Օգտագործում,տղամարդ,դեպք,12
2021,Կառուցվող անշարժ գույք գնելու իրավունք,տղամարդ,դեպք,9725
2021,Հավատարմագրային կառավարում,տղամարդ,դեպք,1
2021,Լիզինգ,տղամարդ,դեպք,1
2021,Use of unauthorised,տղամարդ,դեպք,27
2022,Սեփականություն,տղամարդ,դեպք,77057
2022,Համատեղ սեփականություն,տղամարդ,դեպք,20368
2022,Ընդհանուր բաժնային սեփականություն,տղամարդ,դեպք,42337
2022,Վարձակալություն,տղամարդ,դեպք,4670
2022,Ենթավարձակալություն,տղամարդ,դեպք,55
2022,Գրավ,տղամարդ,դեպք,324
2022,Հողամասի կառուցապատման իրավունք,տղամարդ,դեպք,854
2022,Անհատույց օգտագործում,տղամարդ,դեպք,137
2022,Բնակելի տարածության օգտագործում,տղամարդ,դեպք,1
2022,Սերվիտուտ,տղամարդ,դեպք,47
2022,Հավատարմագրային կառավարում,տղամարդ,դեպք,1
2022,Right of constructor or unauthorised buidlings,տղամարդ,դեպք,3034
2022,Օգտագործում,տղամարդ,դեպք,51
2022,Կառուցվող անշարժ գույք գնելու իրավունք,տղամարդ,դեպք,16726
2022,Լիզինգ,տղամարդ,դեպք,2
2022,Use of unauthorised,տղամարդ,դեպք,11742
2023,Սեփականություն,տղամարդ,դեպք,65981
2023,Համատեղ սեփականություն,տղամարդ,դեպք,19670
2023,Ընդհանուր բաժնային սեփականություն,տղամարդ,դեպք,43443
2023,Վարձակալություն,տղամարդ,դեպք,3368
2023,Ենթավարձակալություն,տղամարդ,դեպք,40
2023,Գրավ,տղամարդ,դեպք,166
2023,Հողամասի կառուցապատման իրավունք,տղամարդ,դեպք,443
2023,Անհատույց օգտագործում,տղամարդ,դեպք,87
2023,Բնակելի տարածության օգտագործում,տղամարդ,դեպք,2
2023,Սերվիտուտ,տղամարդ,դեպք,65
2023,Հավատարմագրային կառավարում,տղամարդ,դեպք,5
2023,Right of constructor or unauthorised buidlings,տղամարդ,դեպք,2971
2023,Օգտագործում,տղամարդ,դեպք,12
2023,Կառուցվող անշարժ գույք գնելու իրավունք,տղամարդ,դեպք,14335
2023,Լիզինգ,տղամարդ,դեպք,1
2023,Use of unauthorised,տղամարդ,դեպք,7783
2024,Սեփականություն,տղամարդ,դեպք,72972
2024,Համատեղ սեփականություն,տղամարդ,դեպք,16058
2024,Ընդհանուր բաժնային սեփականություն,տղամարդ,դեպք,52621
2024,Վարձակալություն,տղամարդ,դեպք,3710
2024,Ենթավարձակալություն,տղամարդ,դեպք,391
2024,Գրավ,տղամարդ,դեպք,167
2024,Հողամասի կառուցապատման իրավունք,տղամարդ,դեպք,433
2024,Անհատույց օգտագործում,տղամարդ,դեպք,98
2024,Բնակելի տարածության օգտագործում,տղամարդ,դեպք,2
2024,Սերվիտուտ,տղամարդ,դեպք,36
2024,Հավատարմագրային կառավարում,տղամարդ,դեպք,3
2024,Right of constructor or unauthorised buidlings,տղամարդ,դեպք,2848
2024,Օգտագործում,տղամարդ,դեպք,11
2024,Կառուցվող անշարժ գույք գնելու իրավունք,տղամարդ,դեպք,19556
2024,Use of unauthorised,տղամարդ,դեպք,1693
2015,Սեփականություն,կին,դեպք,9514
2015,Համատեղ սեփականություն,կին,դեպք,5116
2015,Ընդհանուր բաժնային սեփականություն,կին,դեպք,8355
2015,Վարձակալություն,կին,դեպք,346
2015,Ենթավարձակալություն,կին,դեպք,3
2015,Գրավ,կին,դեպք,7
2015,Հողամասի կառուցապատման իրավունք,կին,դեպք,117
2015,Անհատույց օգտագործում,կին,դեպք,16
2015,Բնակելի տարածության օգտագործում,կին,դեպք,3
2015,Սերվիտուտ,կին,դեպք,6
2015,Right of constructor or unauthorised buidlings,կին,դեպք,250
2015,Օգտագործում,կին,դեպք,4
2015,Կառուցվող անշարժ գույք գնելու իրավունք,կին,դեպք,1
2016,Սեփականություն,կին,դեպք,10144
2016,Համատեղ սեփականություն,կին,դեպք,5636
2016,Ընդհանուր բաժնային սեփականություն,կին,դեպք,8655
2016,Վարձակալություն,կին,դեպք,381
2016,Ենթավարձակալություն,կին,դեպք,4
2016,Գրավ,կին,դեպք,11
2016,Հողամասի կառուցապատման իրավունք,կին,դեպք,121
2016,Անհատույց օգտագործում,կին,դեպք,22
2016,Բնակելի տարածության օգտագործում,կին,դեպք,2
2016,Սերվիտուտ,կին,դեպք,2
2016,Right of constructor or unauthorised buidlings,կին,դեպք,296
2016,Օգտագործում,կին,դեպք,1
2016,Կառուցվող անշարժ գույք գնելու իրավունք,կին,դեպք,109
2016,Use of unauthorised,կին,դեպք,1
2017,Սեփականություն,կին,դեպք,11435
2017,Համատեղ սեփականություն,կին,դեպք,5837
2017,Ընդհանուր բաժնային սեփականություն,կին,դեպք,9784
2017,Վարձակալություն,կին,դեպք,588
2017,Ենթավարձակալություն,կին,դեպք,7
2017,Գրավ,կին,դեպք,8
2017,Հողամասի կառուցապատման իրավունք,կին,դեպք,131
2017,Անհատույց օգտագործում,կին,դեպք,31
2017,Բնակելի տարածության օգտագործում,կին,դեպք,2
2017,Սերվիտուտ,կին,դեպք,6
