Year,Units,Սեռ,Կատեգորիա,Տարիք,Value
2023,%,,,,0.84
2023,%,տղամարդ,,,0.85
2023,%,կին,,,0.82
2023,%,,,0-17 տարեկան,0.001
2023,%,տղամարդ,,0-17 տարեկան,0.001
2023,%,կին,,0-17 տարեկան,0.001
2023,%,,,aged 18-44 years,0.001
2023,%,տղամարդ,,aged 18-44 years,0.001
2023,%,կին,,aged 18-44 years,0.001
2023,%,,,aged 45-64 years,0.001
2023,%,տղամարդ,,aged 45-64 years,0.001
2023,%,կին,,aged 45-64 years,0.0
2023,%,,,65 և բարձր տարիքի,0.399
2023,%,տղամարդ,,65 և բարձր տարիքի,0.0
2023,%,կին,,65 և բարձր տարիքի,0.663
2023,%,,work  exploitation,,0.001
2023,%,տղամարդ,work  exploitation,,0.001
2023,%,կին,work  exploitation,,0.0
2023,%,,sexual  exploitation,,0.0002
2023,%,տղամարդ,sexual  exploitation,,0.0001
2023,%,կին,sexual  exploitation,,0.0004
