Year,Units,Sex,Category,Age,Value
2015,%,,,,29.1
2016,%,,,,27.8
2017,%,,,,25.8
2018,%,,,,23.6
2020,%,,,,19.1
2021,%,,,,18.7
2015,%,male,,,27.9
2016,%,male,,,26.5
2017,%,male,,,24.9
2018,%,male,,,21.9
2020,%,male,,,18.5
2021,%,male,,,18.5
2015,%,female,,,30.1
2016,%,female,,,28.9
2017,%,female,,,26.6
2018,%,female,,,25.0
2020,%,female,,,19.7
2021,%,female,,,18.8
2015,%,,children,,31.4
2016,%,,children,,31.3
2017,%,,children,,29.5
2018,%,,children,,25.5
2020,%,,children,,20.0
2021,%,,children,,19.3
2015,%,,,aged 0-5 years,26.3
2016,%,,,aged 0-5 years,27.7
2017,%,,,aged 0-5 years,25.7
2018,%,,,aged 0-5 years,22.5
2020,%,,,aged 0-5 years,16.5
2021,%,,,aged 0-5 years,15.9
2015,%,,,aged 6-17 years,34.2
2016,%,,,aged 6-17 years,33.2
2017,%,,,aged 6-17 years,31.3
2018,%,,,aged 6-17 years,27.0
2020,%,,,aged 6-17 years,21.6
2021,%,,,aged 6-17 years,20.8
2015,%,,,aged 18-64 years,27.0
2016,%,,,aged 18-64 years,25.4
2017,%,,,aged 18-64 years,23.6
2018,%,,,aged 18-64 years,20.0
2020,%,,,aged 18-64 years,15.7
2021,%,,,aged 18-64 years,15.2
2015,%,,,aged 65 and older,34.6
2016,%,,,aged 65 and older,33.1
2017,%,,,aged 65 and older,29.2
2018,%,,,aged 65 and older,35.0
2020,%,,,aged 65 and older,32.1
2021,%,,,aged 65 and older,31.5
2022,%,,,,20.7
2022,%,male,,,19.4
2022,%,female,,,21.8
2022,%,,children,,21.1
2022,%,,,aged 0-5 years,17.7
2022,%,,,aged 6-17 years,22.6
2022,%,,,aged 18-64 years,17.6
2022,%,,,aged 65 and older,30.5
2023,%,,,,17.3
2023,%,male,,,16.2
2023,%,female,,,18.3
2023,%,,children,,17.5
2023,%,,,aged 0-5 years,14.2
2023,%,,,aged 6-17 years,19.0
2023,%,,,aged 18-64 years,14.2
2023,%,,,aged 65 and older,27.0
