Year,Units,Value
2015,"1=compliant, 0=partially compliant",1
2016,"1=compliant, 0=partially compliant",1
2017,"1=compliant, 0=partially compliant",1
2018,"1=compliant, 0=partially compliant",1
2015,"1=compliant, 0=partially compliant",1
2016,"1=compliant, 0=partially compliant",1
2017,"1=compliant, 0=partially compliant",1
2018,"1=compliant, 0=partially compliant",1
2019,"1=compliant, 0=partially compliant",1
2020,"1=compliant, 0=partially compliant",1
2021,"1=compliant, 0=partially compliant",1
2022,"1=compliant, 0=partially compliant",1
2023,"1=compliant, 0=partially compliant",1
2024,"1=compliant, 0=partially compliant",1
