Year,Units,Value
2015,"100,000 բնակչի հաշվով",11.5
2016,"100,000 բնակչի հաշվով",8.9
2017,"100,000 բնակչի հաշվով",9.4
2018,"100,000 բնակչի հաշվով",11.6
2019,"100,000 բնակչի հաշվով",11.5
2020,"100,000 բնակչի հաշվով",11.8
2015,մարդ,346.0
2016,մարդ,267.0
2017,մարդ,279.0
2018,մարդ,343.0
2019,մարդ,341.0
2020,մարդ,348.0
2021,մարդ,368.0
2021,"100,000 բնակչի հաշվով",12.4
2022,մարդ,321.0
2022,"100,000 բնակչի հաշվով",10.8
2023,"100,000 բնակչի հաշվով",12.8
2023,մարդ,378.0
2024,"100,000 բնակչի հաշվով",11.0
2024,մարդ,333.0
