Year,Units,тип образования,Пол,Value
2015,%,среднее,,86.4
2016,%,среднее,,86.0
2017,%,среднее,,85.7
2018,%,среднее,,83.0
2019,%,среднее,,83.2
2020,%,среднее,,83.2
2015,%,среднее,мужчина,84.6
2016,%,среднее,мужчина,84.7
2017,%,среднее,мужчина,84.6
2018,%,среднее,мужчина,81.4
2019,%,среднее,мужчина,81.7
2020,%,среднее,мужчина,81.8
2015,%,среднее,женщина,88.3
2016,%,среднее,женщина,87.5
2017,%,среднее,женщина,87.0
2018,%,среднее,женщина,84.7
2019,%,среднее,женщина,85.0
2020,%,среднее,женщина,84.9
2015,%,начальная,,91.6
2016,%,начальная,,91.2
2017,%,начальная,,91.3
2018,%,начальная,,91.1
2019,%,начальная,,92.9
2020,%,начальная,,93.2
2015,%,начальная,мужчина,91.6
2016,%,начальная,мужчина,91.3
2017,%,начальная,мужчина,91.5
2018,%,начальная,мужчина,90.9
2019,%,начальная,мужчина,92.3
2020,%,начальная,мужчина,93.0
2015,%,начальная,женщина,91.6
2016,%,начальная,женщина,91.2
2017,%,начальная,женщина,91.1
2018,%,начальная,женщина,91.4
2019,%,начальная,женщина,93.6
2020,%,начальная,женщина,93.5
2015,%,основная,,96.3
2016,%,основная,,90.7
2017,%,основная,,90.1
2018,%,основная,,89.4
2019,%,основная,,90.0
2020,%,основная,,90.6
2015,%,основная,мужчина,95.9
2016,%,основная,мужчина,90.3
2017,%,основная,мужчина,89.8
2018,%,основная,мужчина,88.8
2019,%,основная,мужчина,89.4
2020,%,основная,мужчина,90.2
2015,%,основная,женщина,96.7
2016,%,основная,женщина,91.0
2017,%,основная,женщина,90.4
2018,%,основная,женщина,90.1
2019,%,основная,женщина,90.6
2020,%,основная,женщина,91.1
2015,%,высшее,,57.9
2016,%,высшее,,65.1
2017,%,высшее,,65.5
2018,%,высшее,,59.9
2019,%,высшее,,59.5
2020,%,высшее,,57.9
2015,%,высшее,мужчина,53.1
2016,%,высшее,мужчина,59.4
2017,%,высшее,мужчина,60.5
2018,%,высшее,мужчина,54.8
2019,%,высшее,мужчина,54.5
2020,%,высшее,мужчина,53.0
2015,%,высшее,женщина,63.5
2016,%,высшее,женщина,71.7
2017,%,высшее,женщина,71.1
2018,%,высшее,женщина,65.7
2019,%,высшее,женщина,65.1
2020,%,высшее,женщина,63.5
2015,%,Начальное профессиональное (ремесленное),,7.2
2016,%,Начальное профессиональное (ремесленное),,8.1
2017,%,Начальное профессиональное (ремесленное),,8.6
2018,%,Начальное профессиональное (ремесленное),,6.7
2019,%,Начальное профессиональное (ремесленное),,6.3
2020,%,Начальное профессиональное (ремесленное),,6.2
2015,%,Начальное профессиональное (ремесленное),мужчина,9.8
2016,%,Начальное профессиональное (ремесленное),мужчина,10.9
2017,%,Начальное профессиональное (ремесленное),мужчина,11.4
2018,%,Начальное профессиональное (ремесленное),мужчина,9.2
2019,%,Начальное профессиональное (ремесленное),мужчина,8.9
2020,%,Начальное профессиональное (ремесленное),мужчина,8.9
2015,%,Начальное профессиональное (ремесленное),женщина,4.2
2016,%,Начальное профессиональное (ремесленное),женщина,4.9
2017,%,Начальное профессиональное (ремесленное),женщина,5.4
2018,%,Начальное профессиональное (ремесленное),женщина,3.9
2019,%,Начальное профессиональное (ремесленное),женщина,3.3
2020,%,Начальное профессиональное (ремесленное),женщина,3.1
