Year,Units,Տարածք,Value
2015,"1,000 կնոջ հաշվով",,5.8
2016,"1,000 կնոջ հաշվով",,5.4
2017,"1,000 կնոջ հաշվով",,4.8
2015,"1,000 կնոջ հաշվով",քաղաք,5.0
2016,"1,000 կնոջ հաշվով",քաղաք,4.4
2015,"1,000 կնոջ հաշվով",գյուղ,7.0
2016,"1,000 կնոջ հաշվով",գյուղ,7.0
2017,"1,000 կնոջ հաշվով",քաղաք,3.9
2017,"1,000 կնոջ հաշվով",գյուղ,6.3
2018,"1,000 կնոջ հաշվով",,3.7
2018,"1,000 կնոջ հաշվով",քաղաք,3.0
2018,"1,000 կնոջ հաշվով",գյուղ,4.9
2019,"1,000 կնոջ հաշվով",,3.2
2019,"1,000 կնոջ հաշվով",քաղաք,2.2
2019,"1,000 կնոջ հաշվով",գյուղ,4.7
2020,"1,000 կնոջ հաշվով",,2.9
2020,"1,000 կնոջ հաշվով",քաղաք,2.5
2020,"1,000 կնոջ հաշվով",գյուղ,3.5
