Year,Value,Units,Series
2015,57.0,Index from 0 to 100,Open Data Inventory (ODIN) Coverage Index
2016,55.0,Index from 0 to 100,Open Data Inventory (ODIN) Coverage Index
2017,52.0,Index from 0 to 100,Open Data Inventory (ODIN) Coverage Index
2018,50.0,Index from 0 to 100,Open Data Inventory (ODIN) Coverage Index
2019,,Index from 0 to 100,Open Data Inventory (ODIN) Coverage Index
2020,59.0,Index from 0 to 100,Open Data Inventory (ODIN) Coverage Index
2021,,Index from 0 to 100,Open Data Inventory (ODIN) Coverage Index
2022,60.0,Index from 0 to 100,Open Data Inventory (ODIN) Coverage Index
2023,,Index from 0 to 100,Open Data Inventory (ODIN) Coverage Index
2024,63.0,Index from 0 to 100,Open Data Inventory (ODIN) Coverage Index
2016,60.24,0 to 100 scale,Data Sources performance index (Statistical Performance Indicators Pillar 4)
2017,60.64,0 to 100 scale,Data Sources performance index (Statistical Performance Indicators Pillar 4)
2018,59.94,0 to 100 scale,Data Sources performance index (Statistical Performance Indicators Pillar 4)
2019,58.29,0 to 100 scale,Data Sources performance index (Statistical Performance Indicators Pillar 4)
2020,59.24,0 to 100 scale,Data Sources performance index (Statistical Performance Indicators Pillar 4)
2021,65.88,0 to 100 scale,Data Sources performance index (Statistical Performance Indicators Pillar 4)
2022,64.56,0 to 100 scale,Data Sources performance index (Statistical Performance Indicators Pillar 4)
2023,64.56,0 to 100 scale,Data Sources performance index (Statistical Performance Indicators Pillar 4)
2016,75.0,0 to 100 scale,Data Infrastructure performance index (Statistical Performance Indicators Pillar 5)
2017,80.0,0 to 100 scale,Data Infrastructure performance index (Statistical Performance Indicators Pillar 5)
2018,85.0,0 to 100 scale,Data Infrastructure performance index (Statistical Performance Indicators Pillar 5)
2019,85.0,0 to 100 scale,Data Infrastructure performance index (Statistical Performance Indicators Pillar 5)
2020,85.0,0 to 100 scale,Data Infrastructure performance index (Statistical Performance Indicators Pillar 5)
2021,90.0,0 to 100 scale,Data Infrastructure performance index (Statistical Performance Indicators Pillar 5)
2022,90.0,0 to 100 scale,Data Infrastructure performance index (Statistical Performance Indicators Pillar 5)
2023,90.0,0 to 100 scale,Data Infrastructure performance index (Statistical Performance Indicators Pillar 5)
