Year,Units,Место нахождения,Value
2015,"на 1,000 женщин",,5.8
2016,"на 1,000 женщин",,5.4
2017,"на 1,000 женщин",,4.8
2015,"на 1,000 женщин",город,5.0
2016,"на 1,000 женщин",город,4.4
2015,"на 1,000 женщин",село,7.0
2016,"на 1,000 женщин",село,7.0
2017,"на 1,000 женщин",город,3.9
2017,"на 1,000 женщин",село,6.3
2018,"на 1,000 женщин",,3.7
2018,"на 1,000 женщин",город,3.0
2018,"на 1,000 женщин",село,4.9
2019,"на 1,000 женщин",,3.2
2019,"на 1,000 женщин",город,2.2
2019,"на 1,000 женщин",село,4.7
2020,"на 1,000 женщин",,2.9
2020,"на 1,000 женщин",город,2.5
2020,"на 1,000 женщин",село,3.5
2021,"на 1,000 женщин",,2.7
2021,"на 1,000 женщин",город,1.7
2021,"на 1,000 женщин",село,4.3
2022,"на 1,000 женщин",,2.3
2022,"на 1,000 женщин",город,0.9
2022,"на 1,000 женщин",село,4.6
2023,"на 1,000 женщин",,2.2
2023,"на 1,000 женщин",город,1.1
2023,"на 1,000 женщин",село,4.2
2024,"на 1,000 женщин",,1.8
2024,"на 1,000 женщин",город,0.9
2024,"на 1,000 женщин",село,3.4
