Year,Value,Units,Series
2015,100,%,Area 1: Overarching legal frameworks and public life
2015,89,%,Area 2: Violence against women
2015,78,%,Area 3: Employment and economic benefits
2015,82,%,Area 4: Marriage and family
2016,100,%,Area 1: Overarching legal frameworks and public life
2016,89,%,Area 2: Violence against women
2016,78,%,Area 3: Employment and economic benefits
2016,82,%,Area 4: Marriage and family
2017,100,%,Area 1: Overarching legal frameworks and public life
2017,89,%,Area 2: Violence against women
2017,78,%,Area 3: Employment and economic benefits
2017,82,%,Area 4: Marriage and family
2018,100,%,Area 1: Overarching legal frameworks and public life
2018,89,%,Area 2: Violence against women
2018,78,%,Area 3: Employment and economic benefits
2018,82,%,Area 4: Marriage and family
2019,100,%,Area 1: Overarching legal frameworks and public life
2019,89,%,Area 2: Violence against women
2019,78,%,Area 3: Employment and economic benefits
2019,82,%,Area 4: Marriage and family
2020,100,%,Area 1: Overarching legal frameworks and public life
2020,89,%,Area 2: Violence against women
2020,100,%,Area 3: Employment and economic benefits
2020,82,%,Area 4: Marriage and family
2021,100,%,Area 1: Overarching legal frameworks and public life
2021,89,%,Area 2: Violence against women
2021,100,%,Area 3: Employment and economic benefits
2021,82,%,Area 4: Marriage and family
2022,100,%,Area 1: Overarching legal frameworks and public life
2022,89,%,Area 2: Violence against women
2022,100,%,Area 3: Employment and economic benefits
2022,82,%,Area 4: Marriage and family
2023,100,%,Area 1: Overarching legal frameworks and public life
2023,89,%,Area 2: Violence against women
2023,100,%,Area 3: Employment and economic benefits
2023,82,%,Area 4: Marriage and family
2024,100,%,Area 1: Overarching legal frameworks and public life
2024,89,%,Area 2: Violence against women
2024,100,%,Area 3: Employment and economic benefits
2024,91,%,Area 4: Marriage and family
